Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,2800309,1024,626,100,10990,18375
2,2799694,1024,626,100,10704,135215
3,2799799,1024,626,100,17769,31880
4,2799625,1024,626,100,11133,139311
5,2800114,1024,626,100,10706,13207
6,2799495,1024,626,100,11165,14979
7,2799723,1024,626,100,10709,143551
8,2797911,1024,626,100,14803,14359
9,2799949,1024,626,100,10733,21991
10,2799655,1024,626,100,10697,27271
11,2800054,1024,626,100,10702,26952
12,2799263,1024,626,100,10705,496143
13,2798997,1024,626,100,15824,14647
14,2799627,1024,626,100,10962,96375
15,2804214,1024,626,100,17228,137167
16,2800031,1024,626,100,13039,107663
17,2800516,1024,626,100,22355,353607
18,2799112,1024,626,100,11163,41135
19,2799288,1024,626,100,10704,38007
20,2799356,1024,626,100,17230,631
21,2800724,1024,626,100,10738,274935
22,2799677,1024,626,100,30931,38855
23,2799949,1024,626,100,37207,1527
24,2799753,1024,626,100,14414,139183
25,2799894,1024,626,100,10706,305011
26,2799005,1024,626,100,23149,52007
27,2800075,1024,626,100,12643,67299
28,2799684,1024,626,100,10709,185527
29,2800226,1024,626,100,10741,1103
30,2801849,1024,626,100,11748,141375
31,2799355,1024,626,100,15993,138127
32,2801062,1024,626,100,10750,109135
33,2800264,1024,626,100,10702,15271
34,2799740,1024,626,100,10803,485647
35,2799777,1024,626,100,11169,21399
36,2799239,1024,626,100,14437,136047
37,2799822,1024,626,100,11131,381659
38,2799584,1024,626,100,11163,13135
39,2800860,1024,626,100,23377,2551
40,2799848,1024,626,100,18460,50882
41,2800529,1024,626,100,10707,26839
42,2806213,1024,626,100,12641,520747
43,2799800,1024,626,100,16851,40807
44,2799536,1024,626,100,11170,25687
45,2799599,1024,626,100,11169,24807
46,2800733,1024,626,100,11139,140431
47,2799703,1024,626,100,10732,103375
48,2799488,1024,626,100,14722,631
49,2799882,1024,626,100,10699,130711
50,2800407,1024,626,100,11136,257279
51,2799742,1024,626,100,10902,91999
52,2801329,1024,626,100,22216,91255
