Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,22376906,1024,1037,100,204451,270834
2,22376535,1024,1037,100,208635,270706
3,22369291,1024,1037,100,318235,271002
4,22369732,1024,1037,100,206065,277018
5,22376999,1024,1037,100,192996,275354
6,22368049,1024,1037,100,208454,276378
7,22371308,1024,1037,100,286511,276506
8,22368307,1024,1037,100,211682,276603
9,22370131,1024,1037,100,204856,276762
10,22369353,1024,1037,100,190914,276250
11,22369146,1024,1037,100,307197,274802
12,22371190,1024,1037,100,229254,276634
13,22378434,1024,1037,100,197619,274162
14,22376616,1024,1037,100,203320,277018
15,22369548,1024,1037,100,206489,276890
16,22370043,1024,1037,100,198894,273306
17,22383274,1024,1037,100,196883,279259
18,22370202,1024,1037,100,194219,276250
19,22369476,1024,1037,100,187177,276122
20,22369630,1024,1037,100,284671,279578
21,22369738,1024,1037,100,208343,277530
22,22407018,1024,1037,100,208812,277786
23,22358002,1024,1037,100,190382,276250
24,22369874,1024,1037,100,207792,281819
25,22371413,1024,1037,100,206457,453918
26,22370910,1024,1037,100,204465,272410
27,22368820,1024,1037,100,203063,281183
28,22369821,1024,1037,100,194212,276378
29,22370057,1024,1037,100,194601,280027
30,22370678,1024,1037,100,205273,276634
31,22369686,1024,1037,100,210511,276378
32,22368833,1024,1037,100,192083,276378
33,22371385,1024,1037,100,192141,280795
34,22370252,1024,1037,100,206773,277018
35,22369725,1024,1037,100,197399,276250
36,22369821,1024,1037,100,212125,277657
37,22369743,1024,1037,100,196610,276972
38,22370274,1024,1037,100,196331,279259
39,22369718,1024,1037,100,190515,276250
40,22369083,1024,1037,100,222705,366858
41,22370299,1024,1037,100,210826,277018
42,22370400,1024,1037,100,204744,412947
43,22378383,1024,1037,100,193179,365338
44,22370259,1024,1037,100,205844,273306
45,22369908,1024,1037,100,196410,276378
46,22370484,1024,1037,100,188324,276753
47,22369534,1024,1037,100,191852,278323
48,22369625,1024,1037,100,309658,276378
49,22376089,1024,1037,100,207009,277018
50,22378065,1024,1037,100,204385,282522
51,22370124,1024,1037,100,202285,277146
52,22369232,1024,1037,100,322758,276634
53,22370529,1024,1037,100,331681,271642
54,22370451,1024,1037,100,210612,276890
55,22395538,1024,1037,100,203470,282266
56,22369693,1024,1037,100,207245,277483
57,22378034,1024,1037,100,206502,274651
58,22377262,1024,1037,100,186383,276634
59,22369383,1024,1037,100,210203,280883
60,22370124,1024,1037,100,211474,270874
61,22401284,1024,1037,100,304829,276506
62,22369108,1024,1037,100,198474,277018
63,22369100,1024,1037,100,215824,277530
64,22370437,1024,1037,100,204116,276634
65,22371694,1024,1037,100,287421,276881
66,22376624,1024,1037,100,209772,277018
67,22404527,1024,1037,100,203819,276187
68,22369573,1024,1037,100,207030,277146
69,22400974,1024,1037,100,208573,276378
70,22369756,1024,1037,100,207971,278554
71,22369306,1024,1037,100,191285,276309
72,22370225,1024,1037,100,192124,276122
73,22377681,1024,1037,100,205446,276978
74,22369458,1024,1037,100,223166,271002
75,22369443,1024,1037,100,194255,275994
76,22369967,1024,1037,100,211402,282522
77,22377332,1024,1037,100,209252,277018
78,22400353,1024,1037,100,198624,277723
79,22369135,1024,1037,100,197985,270874
80,22369936,1024,1037,100,207300,270874
81,22369293,1024,1037,100,194094,276122
82,22370390,1024,1037,100,190479,275954
83,22370254,1024,1037,100,300608,279322
84,22368111,1024,1037,100,208384,269594
85,22376544,1024,1037,100,208352,277215
86,22370328,1024,1037,100,201938,277018
87,22370279,1024,1037,100,323658,271258
88,22392958,1024,1037,100,211013,270874
89,22368906,1024,1037,100,202479,278042
90,22370314,1024,1037,100,193996,276634
91,22368716,1024,1037,100,195465,280667
92,22377013,1024,1037,100,205412,277146
93,22377687,1024,1037,100,209464,280917
94,22377337,1024,1037,100,290300,276506
95,22377847,1024,1037,100,202504,275610
96,22401996,1024,1037,100,224612,271130
97,22370279,1024,1037,100,197569,276506
98,22369613,1024,1037,100,271470,276378
99,22370205,1024,1037,100,208829,276378
100,22369534,1024,1037,100,204102,278037
101,22374688,1024,1037,100,203940,277234
102,22378671,1024,1037,100,203056,278107
103,22377367,1024,1037,100,196187,274586
104,22369642,1024,1037,100,200801,276827
105,22408522,1024,1037,100,232590,276762
106,22369221,1024,1037,100,204910,280539
107,22368718,1024,1037,100,191506,276378
108,22370105,1024,1037,100,202910,276762
109,22369830,1024,1037,100,207800,282768
110,22375987,1024,1037,100,205189,276890
111,22405865,1024,1037,100,209373,276890
112,22370278,1024,1037,100,201475,269722
113,22390088,1024,1037,100,201461,269850
114,22398931,1024,1037,100,207233,270074
115,22371248,1024,1037,100,206474,276500
116,22370283,1024,1037,100,302864,276506
117,22377429,1024,1037,100,205864,276378
118,22369994,1024,1037,100,194240,276250
119,22370718,1024,1037,100,207708,281779
120,22369099,1024,1037,100,207988,270362
121,22377477,1024,1037,100,211261,277018
122,22369787,1024,1037,100,215703,277914
123,22370122,1024,1037,100,202328,277274
124,22370312,1024,1037,100,210644,282010
125,22370133,1024,1037,100,208699,271130
126,22370266,1024,1037,100,202704,278235
127,22369697,1024,1037,100,296719,276594
128,22369593,1024,1037,100,206738,271770
129,22376502,1024,1037,100,208347,282075
130,22370306,1024,1037,100,201560,277146
131,22371023,1024,1037,100,206386,270618
132,22370438,1024,1037,100,197567,279259
133,22399546,1024,1037,100,202594,277274
134,22369629,1024,1037,100,208308,276378
135,22375966,1024,1037,100,208162,271346
136,22378795,1024,1037,100,201591,277234
137,22370123,1024,1037,100,197002,280667
138,22377751,1024,1037,100,193854,276250
139,22369111,1024,1037,100,207801,271002
140,22369646,1024,1037,100,212071,281307
141,22376483,1024,1037,100,205450,276890
142,22369432,1024,1037,100,206649,276506
143,22376489,1024,1037,100,273077,294782
144,22378671,1024,1037,100,208761,277141
145,22370856,1024,1037,100,217733,448926
146,22370038,1024,1037,100,207367,276978
147,22370458,1024,1037,100,191115,279771
148,22370831,1024,1037,100,215845,276122
149,22376435,1024,1037,100,209813,276383
150,22392583,1024,1037,100,252080,276250
151,22374364,1024,1037,100,194746,276122
152,22369262,1024,1037,100,209316,270490
153,22369650,1024,1037,100,191331,271007
154,22370496,1024,1037,100,296779,279827
155,22369717,1024,1037,100,203176,271002
156,22369486,1024,1037,100,209649,276378
157,22376291,1024,1037,100,300901,276855
158,22377665,1024,1037,100,202851,272922
159,22370055,1024,1037,100,207140,281882
160,22370435,1024,1037,100,209108,277018
161,22377163,1024,1037,100,201141,278437
162,22369135,1024,1037,100,223713,276634
163,22393986,1024,1037,100,206471,277018
164,22369618,1024,1037,100,189967,280667
165,22376012,1024,1037,100,206424,270746
166,22376762,1024,1037,100,201904,273818
167,22368790,1024,1037,100,260615,276466
168,22376818,1024,1037,100,191262,275866
169,22370968,1024,1037,100,202868,278170
170,22369935,1024,1037,100,207780,271962
171,22369849,1024,1037,100,203274,529234
172,22370658,1024,1037,100,206400,277234
173,22376995,1024,1037,100,206945,276378
174,22377040,1024,1037,100,206263,277018
175,22369404,1024,1037,100,194315,280667
176,22377845,1024,1037,100,206174,270746
177,22370355,1024,1037,100,194121,280159
178,22371001,1024,1037,100,211406,270706
179,22369803,1024,1037,100,206851,277018
180,22376430,1024,1037,100,211750,276378
181,22369541,1024,1037,100,194943,276250
182,22368785,1024,1037,100,316977,271346
183,22369173,1024,1037,100,198718,274074
184,22405064,1024,1037,100,203394,277402
185,22398641,1024,1037,100,196139,279259
186,22370586,1024,1037,100,191547,276250
187,22370627,1024,1037,100,194507,280155
188,22370259,1024,1037,100,209503,277026
189,22370225,1024,1037,100,230691,276466
190,22369993,1024,1037,100,207434,262725
191,22369290,1024,1037,100,214728,271258
192,22381085,1024,1037,100,208144,277530
193,22369867,1024,1037,100,209726,276250
194,22369285,1024,1037,100,204942,269594
195,22369650,1024,1037,100,192608,273946
196,22370193,1024,1037,100,318630,277274
197,22370475,1024,1037,100,206607,277146
198,22369376,1024,1037,100,223583,276250
199,22376599,1024,1037,100,212173,277618
200,22369239,1024,1037,100,211981,282463
201,22376715,1024,1037,100,209257,276762
202,22370254,1024,1037,100,210512,276378
203,22368830,1024,1037,100,206389,269850
204,22367856,1024,1037,100,187021,280667
205,22368461,1024,1037,100,220292,276250
206,22370391,1024,1037,100,199999,277851
207,22370076,1024,1037,100,210791,277018
208,22370465,1024,1037,100,208593,277148
209,22369057,1024,1037,100,206801,481058
210,22370496,1024,1037,100,315191,277362
211,22369225,1024,1037,100,210125,277018
212,22380099,1024,1037,100,204220,276762
213,22396583,1024,1037,100,202320,276762
214,22369668,1024,1037,100,193856,278875
215,22370210,1024,1037,100,205053,270618
216,22370147,1024,1037,100,210644,277018
217,22369319,1024,1037,100,272573,279450
218,22369508,1024,1037,100,197207,276890
219,22369382,1024,1037,100,203198,276187
220,22378438,1024,1037,100,207225,277483
221,22377391,1024,1037,100,207278,282459
222,22369019,1024,1037,100,190294,276122
223,22370901,1024,1037,100,226929,271258
224,22376889,1024,1037,100,206299,269770
225,22370041,1024,1037,100,252333,281498
226,22369798,1024,1037,100,203114,277146
227,22369385,1024,1037,100,190913,281139
228,22377325,1024,1037,100,261792,276378
229,22376704,1024,1037,100,212314,277530
230,22370995,1024,1037,100,210892,276827
231,22369792,1024,1037,100,204177,282715
232,22370682,1024,1037,100,197557,276970
233,22369794,1024,1037,100,209603,277146
