Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,2355481,1024,526,100,9046,14467
2,2356126,1024,526,100,9036,21283
3,2355393,1024,526,100,10469,132411
4,2354184,1024,526,100,9038,8227
5,2355087,1024,526,100,9039,531
6,2355683,1024,526,100,9038,6115
7,2354367,1024,526,100,9040,8547
8,2355428,1024,526,100,9700,472347
9,2354940,1024,526,100,9041,19587
10,2355024,1024,526,100,9041,14739
11,2356075,1024,526,100,9039,14195
12,2355820,1024,526,100,9477,1811
13,2355530,1024,526,100,9039,150147
14,2355373,1024,526,100,9040,143691
15,2355127,1024,526,100,9045,18259
16,2354552,1024,526,100,9040,85091
17,2355461,1024,526,100,14432,4499
18,2356099,1024,526,100,9043,21919
19,2355272,1024,526,100,27346,41971
20,2354793,1024,526,100,9041,1683
21,2355719,1024,526,100,9040,303555
22,2354513,1024,526,100,9198,76603
23,2356354,1024,526,100,9042,40307
24,2354699,1024,526,100,11718,13976
25,2354663,1024,526,100,30168,114843
26,2355082,1024,526,100,9331,54531
27,2354390,1024,526,100,19407,22675
28,2356266,1024,526,100,9045,141147
29,2355210,1024,526,100,24270,46875
30,2355245,1024,526,100,9041,8243
31,2359005,1024,526,100,9045,14771
32,2355472,1024,526,100,9046,1171
33,2354686,1024,526,100,9168,13027
34,2355535,1024,526,100,9046,402155
35,2354723,1024,526,100,9170,20579
36,2354864,1024,526,100,9039,13603
37,2354624,1024,526,100,9041,20147
38,2357416,1024,526,100,9041,7411
39,2355751,1024,526,100,9054,659
40,2355147,1024,526,100,9038,20275
41,2355726,1024,526,100,9035,605907
42,2355019,1024,526,100,9037,289939
43,2354965,1024,526,100,9035,263771
44,2355276,1024,526,100,9041,181947
45,2355205,1024,526,100,9036,531
46,2354964,1024,526,100,9045,16835
47,2355400,1024,526,100,9042,1171
48,2357522,1024,526,100,9043,304627
49,2355101,1024,526,100,20697,1427
50,2355247,1024,526,100,9045,531
51,2355288,1024,526,100,9068,531
52,2354760,1024,526,100,9479,531
53,2354499,1024,526,100,9510,146939
54,2354982,1024,526,100,9036,531
55,2355015,1024,526,100,9037,531
56,2355348,1024,526,100,27990,18547
57,2355770,1024,526,100,9170,13971
58,2354126,1024,526,100,9041,316291
59,2354414,1024,526,100,9036,10003
60,2356161,1024,526,100,9067,531
61,2354333,1024,526,100,9049,107419
62,2355664,1024,526,100,9044,531
63,2355479,1024,526,100,10197,7123
64,2354879,1024,526,100,9038,20787
65,2354636,1024,526,100,9040,470043
66,2354667,1024,526,100,9386,13683
67,2355156,1024,526,100,9063,25867
68,2355423,1024,526,100,9059,136475
69,2355484,1024,526,100,9297,19923
70,2357154,1024,526,100,13524,19324
71,2355507,1024,526,100,9039,19811
72,2355932,1024,526,100,9043,21907
