Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,16223339,1024,922,100,176297,270503
2,17269239,1024,922,100,160625,269479
3,17271400,1024,922,100,146042,276007
4,16253377,1024,922,100,143937,276903
5,17264580,1024,922,100,163712,1311
6,15177183,1024,922,100,144047,1183
7,15193507,1024,922,100,139640,281320
8,17275318,1024,922,100,171181,276135
9,16222210,1024,922,100,152607,2847
10,16236845,1024,922,100,139053,276903
11,17271331,1024,922,100,142403,277415
12,15181134,1024,922,100,123868,7967
13,15196346,1024,922,100,160537,270887
14,15197966,1024,922,100,128445,275751
15,16224566,1024,922,100,153551,2079
16,16248280,1024,922,100,148154,269863
17,16212179,1024,922,100,151525,275111
18,17264993,1024,922,100,170842,8223
19,16236041,1024,922,100,151393,2335
20,17252582,1024,922,100,160650,276903
21,16227929,1024,922,100,148284,269351
22,17270159,1024,922,100,164088,276200
23,16218699,1024,922,100,168229,271015
24,17266949,1024,922,100,157246,276903
25,16236204,1024,922,100,141312,276903
26,17271350,1024,922,100,163269,270887
27,17266369,1024,922,100,160923,276775
28,17275623,1024,922,100,165802,269223
29,15177639,1024,922,100,141738,271143
30,16241281,1024,922,100,137642,275528
31,17264058,1024,922,100,164861,281448
32,16244742,1024,922,100,153633,269991
33,16225310,1024,922,100,158344,269991
34,16218258,1024,922,100,131613,276735
35,16247803,1024,922,100,141265,269095
36,15197675,1024,922,100,142720,8936
37,14165642,1024,922,100,131366,270119
38,16226918,1024,922,100,140005,144231
39,17268288,1024,922,100,153560,272295
40,16231938,1024,922,100,148203,269095
41,17275173,1024,922,100,161301,276519
42,15177933,1024,922,100,139547,10600
43,16248795,1024,922,100,168501,271015
44,16224924,1024,922,100,132244,276320
45,17260012,1024,922,100,162529,8991
46,16224300,1024,922,100,154612,8479
47,15188720,1024,922,100,121969,276135
48,16225277,1024,922,100,152842,269223
49,17276969,1024,922,100,140618,276479
50,16243212,1024,922,100,133750,276252
51,16223265,1024,922,100,136528,10271
52,17280302,1024,922,100,141234,276775
53,17260693,1024,922,100,151101,276647
54,16231183,1024,922,100,152211,276980
55,14168969,1024,922,100,135349,7583
56,17258139,1024,922,100,159274,278140
57,16222718,1024,922,100,148973,281320
58,17268211,1024,922,100,149017,277887
59,16230497,1024,922,100,158009,270503
60,17260883,1024,922,100,160590,2551
61,17258027,1024,922,100,144262,275839
62,17268175,1024,922,100,159504,271138
63,16227381,1024,922,100,159710,276903
64,17275454,1024,922,100,160201,269095
65,14182370,1024,922,100,133913,269351
66,17260239,1024,922,100,159250,277031
67,16234873,1024,922,100,149473,13983
68,15193964,1024,922,100,124121,276007
69,17252194,1024,922,100,164363,268967
70,17276742,1024,922,100,160379,276903
71,17284475,1024,922,100,158496,276391
72,17270300,1024,922,100,160787,271015
73,16234714,1024,922,100,150956,269095
74,16226232,1024,922,100,166207,2463
75,15192973,1024,922,100,120744,276135
76,16223024,1024,922,100,149144,277247
77,17270343,1024,922,100,149824,277119
78,15212706,1024,922,100,144168,269479
79,17267663,1024,922,100,180710,270375
80,15221295,1024,922,100,131457,276263
81,16201392,1024,922,100,150459,269095
82,16244339,1024,922,100,148001,8479
83,16225107,1024,922,100,136586,278311
84,15216371,1024,922,100,139903,269607
85,16224811,1024,922,100,130737,8607
86,17268287,1024,922,100,167594,269095
87,15210282,1024,922,100,143632,1567
88,16235843,1024,922,100,152826,275952
89,16248868,1024,922,100,159445,272039
90,16227456,1024,922,100,161198,270591
91,17263692,1024,922,100,144947,276607
92,16212425,1024,922,100,150734,269479
93,17265527,1024,922,100,164432,276584
94,17278058,1024,922,100,162090,277608
95,17278826,1024,922,100,147954,278823
96,15176011,1024,922,100,123960,276007
97,17268665,1024,922,100,164438,2207
98,16225635,1024,922,100,151349,270631
99,17267930,1024,922,100,138305,275879
100,17264173,1024,922,100,153336,7967
101,16225778,1024,922,100,140486,276263
102,17275053,1024,922,100,174531,270247
103,16234796,1024,922,100,147713,269735
104,15193311,1024,922,100,144770,277287
105,16229511,1024,922,100,147990,269095
106,16227330,1024,922,100,131213,192679
107,16254231,1024,922,100,149185,9887
108,14167786,1024,922,100,120574,276479
109,17257033,1024,922,100,147313,277543
110,17254817,1024,922,100,168626,274983
111,16234412,1024,922,100,140993,276775
112,17276548,1024,922,100,161393,277031
113,16252633,1024,922,100,149880,1439
114,16244494,1024,922,100,154283,270376
115,17265797,1024,922,100,160235,276903
116,16224806,1024,922,100,134008,276391
117,17265433,1024,922,100,163057,282023
118,16226294,1024,922,100,135613,9701
119,16250854,1024,922,100,148492,269223
120,17264473,1024,922,100,147910,276351
121,16231145,1024,922,100,149926,8743
122,16225540,1024,922,100,140348,275495
123,17267825,1024,922,100,161286,276519
124,16225935,1024,922,100,151238,2591
125,16250658,1024,922,100,137986,276263
126,17263741,1024,922,100,158897,275692
127,17320277,1024,922,100,160297,9448
128,15191892,1024,922,100,143534,9320
129,15194282,1024,922,100,123247,8567
130,17273091,1024,922,100,137893,277119
131,16235475,1024,922,100,154624,65703
132,15216498,1024,922,100,141587,276647
133,15215365,1024,922,100,124831,8095
134,17267048,1024,922,100,140432,276647
135,17268599,1024,922,100,144002,275879
136,15189364,1024,922,100,121144,276263
137,16232536,1024,922,100,137683,10015
138,16248483,1024,922,100,139584,272483
139,16248865,1024,922,100,149827,2039
140,16234109,1024,922,100,144232,276600
141,17274469,1024,922,100,161831,277360
142,16253927,1024,922,100,155410,281704
143,16243952,1024,922,100,146229,277543
144,16222963,1024,922,100,149584,1183
145,15193134,1024,922,100,140698,270631
146,16199953,1024,922,100,155096,276416
147,17266108,1024,922,100,183169,273616
148,16226107,1024,922,100,134534,277219
149,16232096,1024,922,100,132729,276128
150,17273730,1024,922,100,162687,163435
151,17253430,1024,922,100,161052,269095
152,15219123,1024,922,100,123335,8095
153,15214991,1024,922,100,160478,270503
154,16240400,1024,922,100,151876,269479
155,16244795,1024,922,100,131046,276903
156,17277149,1024,922,100,148327,279920
157,16248294,1024,922,100,155037,7656
158,16234188,1024,922,100,133816,276223
159,16248465,1024,922,100,146745,276479
160,16244470,1024,922,100,134322,9079
161,17272590,1024,922,100,164285,276263
162,16212456,1024,922,100,145631,280231
163,15208732,1024,922,100,124031,8479
164,16262658,1024,922,100,153562,273308
165,15191706,1024,922,100,138379,269095
166,16222692,1024,922,100,152361,281320
167,16250603,1024,922,100,168110,2975
168,16217855,1024,922,100,153222,276647
169,16228434,1024,922,100,152953,270631
170,17266894,1024,922,100,140994,275879
171,15182231,1024,922,100,120760,276135
172,16227546,1024,922,100,137840,275751
173,17279435,1024,922,100,151631,275367
174,16225641,1024,922,100,150919,269095
175,15217481,1024,922,100,130157,276263
176,16222887,1024,922,100,140230,278399
177,17250299,1024,922,100,172801,276640
178,16230244,1024,922,100,151266,1183
179,17275358,1024,922,100,148910,11584
180,17267132,1024,922,100,160730,276351
181,16247880,1024,922,100,153764,278248
182,17276957,1024,922,100,184000,270247
183,15177616,1024,922,100,163214,270887
184,17252892,1024,922,100,138745,275879
185,17273905,1024,922,100,172110,8351
186,15212715,1024,922,100,150085,270887
187,15191755,1024,922,100,121002,276647
188,16235609,1024,922,100,139917,7327
189,16234725,1024,922,100,149261,276263
190,17253749,1024,922,100,140480,273904
191,16218755,1024,922,100,152065,275696
192,16241824,1024,922,100,160709,270119
193,16200592,1024,922,100,146124,276135
194,16227496,1024,922,100,147523,2335
195,16245963,1024,922,100,152250,269479
196,16223723,1024,922,100,131643,8607
197,17265070,1024,922,100,159278,279916
198,17267088,1024,922,100,159296,277224
199,15175856,1024,922,100,127371,278311
200,17258230,1024,922,100,138286,276263
201,17251827,1024,922,100,180034,270759
202,16235148,1024,922,100,150210,269095
203,16200724,1024,922,100,152800,2679
204,15216410,1024,922,100,124439,276263
205,17271406,1024,922,100,141093,8607
206,16225906,1024,922,100,149293,269095
207,15212882,1024,922,100,122129,276135
208,16224145,1024,922,100,134625,278695
209,16249580,1024,922,100,143959,276479
210,16232121,1024,922,100,147641,277375
211,14164835,1024,922,100,134087,270247
212,17273842,1024,922,100,157798,277031
213,16227754,1024,922,100,141079,40583
214,17268468,1024,922,100,152195,279920
215,16234520,1024,922,100,144716,9887
216,17266652,1024,922,100,177288,271015
217,17257840,1024,922,100,161104,269351
218,17284088,1024,922,100,139959,276007
219,15194969,1024,922,100,124004,138619
220,16260679,1024,922,100,152922,270119
221,15177271,1024,922,100,144703,275440
222,17270776,1024,922,100,156806,273319
223,15176948,1024,922,100,141295,2207
224,16225169,1024,922,100,151521,278256
225,14164400,1024,922,100,116638,8479
226,17268466,1024,922,100,163515,276903
227,17265412,1024,922,100,157701,276903
228,16227823,1024,922,100,143605,154523
229,16232301,1024,922,100,152619,271231
230,16224025,1024,922,100,148293,269351
231,15178101,1024,922,100,123868,275879
232,16234910,1024,922,100,160437,271404
233,16242922,1024,922,100,151542,277543
234,16231162,1024,922,100,151725,269479
235,16236927,1024,922,100,154123,1311
236,17279546,1024,922,100,141044,129403
237,15177423,1024,922,100,120998,277119
238,16232137,1024,922,100,135282,276156
239,16240066,1024,922,100,148102,276135
240,16226205,1024,922,100,133965,276647
241,17278764,1024,922,100,144838,8479
242,16231851,1024,922,100,148956,269095
243,16231784,1024,922,100,135885,275696
244,17277961,1024,922,100,163591,13796
245,16235775,1024,922,100,148161,278567
246,16200735,1024,922,100,147985,1439
247,17271937,1024,922,100,161401,276007
248,16248294,1024,922,100,146759,277031
249,16239482,1024,922,100,144006,276775
250,17295737,1024,922,100,147988,275367
251,16224999,1024,922,100,145185,275239
252,16234845,1024,922,100,150506,269095
253,14169605,1024,922,100,131734,9192
254,16235053,1024,922,100,160613,276007
255,17264549,1024,922,100,178842,271527
256,16230945,1024,922,100,134948,8863
257,15217347,1024,922,100,121519,275879
258,15178948,1024,922,100,141905,276720
259,17279452,1024,922,100,157006,270079
260,16232504,1024,922,100,146651,269429
261,17271182,1024,922,100,138337,275879
262,16232298,1024,922,100,152578,281192
263,17259842,1024,922,100,162713,280231
264,16248086,1024,922,100,152231,269351
265,15175972,1024,922,100,119638,8991
266,17271722,1024,922,100,163848,2975
267,16229399,1024,922,100,137509,276647
268,16237249,1024,922,100,143244,9320
269,16225607,1024,922,100,150468,277671
270,17253234,1024,922,100,175255,276519
271,17265029,1024,922,100,142208,278714
272,16242067,1024,922,100,152704,269351
273,16222434,1024,922,100,150563,1399
274,17253063,1024,922,100,141586,275879
275,16224779,1024,922,100,138293,277415
276,15216490,1024,922,100,139070,109187
277,14168542,1024,922,100,127833,271048
278,17263043,1024,922,100,155681,269982
279,16252166,1024,922,100,150982,1695
280,16227606,1024,922,100,148883,270759
281,17257324,1024,922,100,152107,7583
282,16225451,1024,922,100,150934,270375
283,17274571,1024,922,100,145059,278256
284,16254949,1024,922,100,153067,1439
285,17257408,1024,922,100,160358,1655
286,17250024,1024,922,100,160134,277031
287,16233214,1024,922,100,144230,277031
288,17265422,1024,922,100,141466,143655
289,17265172,1024,922,100,163127,277671
290,16229202,1024,922,100,154466,8552
291,16226608,1024,922,100,134231,276135
292,16243243,1024,922,100,151755,276647
293,17259551,1024,922,100,162728,271911
294,17266203,1024,922,100,163591,8351
295,15209049,1024,922,100,142651,8172
296,17254374,1024,922,100,160631,276775
297,15189375,1024,922,100,136471,86275
298,16230545,1024,922,100,150024,276976
299,15176768,1024,922,100,155219,269607
300,16236370,1024,922,100,131649,275887
301,17252316,1024,922,100,161044,277232
302,16236776,1024,922,100,152688,7784
303,16244952,1024,922,100,170461,270375
304,17277613,1024,922,100,156605,276135
305,15189381,1024,922,100,122472,8735
306,16236715,1024,922,100,137244,9119
307,16244840,1024,922,100,152636,1183
308,16235223,1024,922,100,150578,277927
309,14165230,1024,922,100,139864,269735
310,16247663,1024,922,100,152685,269183
311,17262180,1024,922,100,145075,276391
312,16235212,1024,922,100,153957,268967
313,16238700,1024,922,100,149275,277104
314,17266072,1024,922,100,179329,270887
315,17267573,1024,922,100,158811,1183
316,16247960,1024,922,100,144871,84899
317,15195730,1024,922,100,163372,270503
318,17266674,1024,922,100,162112,9207
319,16232404,1024,922,100,151014,1517
320,16226371,1024,922,100,155605,1183
321,17273791,1024,922,100,147655,276135
322,15214360,1024,922,100,154405,270503
323,17271624,1024,922,100,166557,167687
324,17266003,1024,922,100,169504,8351
325,16241725,1024,922,100,149910,276647
326,17251236,1024,922,100,157490,272679
327,16224507,1024,922,100,132639,277031
328,14169142,1024,922,100,122383,7967
329,17267570,1024,922,100,157519,276263
330,15193959,1024,922,100,156046,2591
331,17269985,1024,922,100,163522,269991
332,17266746,1024,922,100,165521,253669
333,16235971,1024,922,100,136548,9327
334,16236480,1024,922,100,155024,276080
335,16248691,1024,922,100,139083,7455
336,16245582,1024,922,100,137049,276775
337,16233718,1024,922,100,152807,276135
338,16228292,1024,922,100,140457,9247
339,17276226,1024,922,100,161867,269311
340,16235806,1024,922,100,143286,8991
341,16224004,1024,922,100,153369,269095
342,17270111,1024,922,100,146586,279796
343,17266463,1024,922,100,160903,273315
344,15176038,1024,922,100,143793,269223
345,15196168,1024,922,100,123634,275495
346,17272648,1024,922,100,173493,276391
347,16249057,1024,922,100,147207,270887
348,16228721,1024,922,100,152026,269223
349,16247502,1024,922,100,154245,269479
350,16226820,1024,922,100,166115,176001
351,16235604,1024,922,100,153072,269223
352,16234872,1024,922,100,153352,9247
353,16227492,1024,922,100,154682,276647
354,15193060,1024,922,100,123834,275879
355,17270503,1024,922,100,173341,271783
356,17273491,1024,922,100,162651,277671
357,17271947,1024,922,100,162339,281704
358,16235577,1024,922,100,152529,7967
359,16224332,1024,922,100,135169,275751
360,16226051,1024,922,100,133738,276903
361,17274203,1024,922,100,143171,10271
362,17276570,1024,922,100,159336,279719
363,16248569,1024,922,100,154023,281511
364,17260320,1024,922,100,165094,272295
365,17280016,1024,922,100,179597,270631
366,16226351,1024,922,100,166589,270247
367,16226553,1024,922,100,151791,1183
368,17266182,1024,922,100,143745,60211
369,16230897,1024,922,100,155097,276976
370,17272357,1024,922,100,162457,281704
371,16226887,1024,922,100,154828,92004
372,16264123,1024,922,100,154972,14052
373,17279972,1024,922,100,155557,278439
374,16227909,1024,922,100,158507,276391
375,17270505,1024,922,100,172765,276263
376,15189620,1024,922,100,158237,270887
377,17260052,1024,922,100,167291,276391
378,17275952,1024,922,100,171472,276391
379,16226808,1024,922,100,166934,2207
380,16244276,1024,922,100,147769,276903
381,14168510,1024,922,100,132771,269991
382,16263449,1024,922,100,149344,133424
383,15209476,1024,922,100,149858,269607
384,16245099,1024,922,100,144019,276519
385,17263421,1024,922,100,162872,270887
386,16236535,1024,922,100,131995,274416
387,15189363,1024,922,100,139718,269479
388,16232222,1024,922,100,142893,276479
389,14165692,1024,922,100,125785,8991
390,16225129,1024,922,100,140917,274855
391,16223078,1024,922,100,159485,269991
392,16234697,1024,922,100,151593,269351
393,15179633,1024,922,100,121301,8863
394,15179165,1024,922,100,122064,276135
395,16226421,1024,922,100,174558,270503
396,16223956,1024,922,100,137073,275839
397,17267445,1024,922,100,160699,249789
398,17264474,1024,922,100,160833,275623
399,16245844,1024,922,100,145334,268839
400,17268139,1024,922,100,161787,1183
401,16227177,1024,922,100,153593,1183
402,15219029,1024,922,100,150777,269351
403,17270673,1024,922,100,170430,271143
404,16228306,1024,922,100,136139,7839
405,16235056,1024,922,100,134558,276263
406,17275270,1024,922,100,157683,269735
407,16249151,1024,922,100,131601,276647
408,17275270,1024,922,100,156005,269863
409,17283938,1024,922,100,139790,8223
410,17263800,1024,922,100,161531,270119
411,16236674,1024,922,100,151288,269095
412,16254053,1024,922,100,151293,270375
413,16235511,1024,922,100,151803,277740
414,17261934,1024,922,100,149184,275879
415,16229880,1024,922,100,135761,228687
