Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,8025412,1024,806,100,74428,811
2,8027630,1024,806,100,54595,8107
3,8023183,1024,806,100,56050,7851
4,8023143,1024,806,100,62532,276915
5,8016496,1024,806,100,55934,269875
6,8023144,1024,806,100,74577,811
7,7997001,1024,806,100,66432,268723
8,8027910,1024,806,100,64843,7467
9,8020756,1024,806,100,56593,1707
10,8032226,1024,806,100,65345,8564
11,8022116,1024,806,100,59889,276531
12,8020846,1024,806,100,56581,269491
13,8012769,1024,806,100,54327,811
14,8006444,1024,806,100,71851,811
15,8024880,1024,806,100,77014,1012
16,8013136,1024,806,100,73366,811
17,8020077,1024,806,100,77189,268723
18,8019114,1024,806,100,70690,268723
19,8028163,1024,806,100,75902,268723
20,8009561,1024,806,100,64228,811
21,8034879,1024,806,100,58443,269363
22,8038656,1024,806,100,57406,7979
23,8021268,1024,806,100,55715,8747
24,8018151,1024,806,100,54736,277116
25,8012910,1024,806,100,55934,2347
26,8032275,1024,806,100,56068,1155
27,8041472,1024,806,100,56266,7851
28,8002048,1024,806,100,75015,269875
29,8006585,1024,806,100,56843,2219
30,8028545,1024,806,100,74170,811
31,8017644,1024,806,100,70043,4011
32,8008859,1024,806,100,70366,3499
33,8029208,1024,806,100,57209,276531
34,8033599,1024,806,100,80986,269875
35,8028103,1024,806,100,76741,811
36,8016515,1024,806,100,54312,1283
37,8018102,1024,806,100,77282,811
38,8003870,1024,806,100,67294,7851
39,8013735,1024,806,100,54692,7851
40,8018266,1024,806,100,64555,7211
41,8021814,1024,806,100,57474,8235
42,8022246,1024,806,100,69039,271411
43,8019307,1024,806,100,55738,8363
44,8017951,1024,806,100,57202,271027
45,8017658,1024,806,100,62487,9771
46,8021342,1024,806,100,57342,274867
47,8020833,1024,806,100,74602,811
48,8031736,1024,806,100,56043,270003
49,8007142,1024,806,100,71292,3627
50,8028915,1024,806,100,66070,7211
51,8045226,1024,806,100,86133,1835
52,8017247,1024,806,100,56045,269747
53,8031103,1024,806,100,56324,6955
54,8006695,1024,806,100,74299,65315
55,8005814,1024,806,100,55965,259999
56,8015779,1024,806,100,62481,276531
57,8026557,1024,806,100,57059,7979
58,8030577,1024,806,100,57536,8107
59,8024126,1024,806,100,80496,1963
60,8030919,1024,806,100,74920,811
