Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
1,2130056,1024,476,100,28.13
2,2130201,1024,476,100,7.22
3,2130186,1024,476,100,4.26
4,2129882,1024,476,100,962.59
5,2130005,1024,476,100,19.79
6,2130566,1024,476,100,104.94
7,2130112,1024,476,100,25.95
8,2129995,1024,476,100,34.21
9,2130473,1024,476,100,29.28
10,2129550,1024,476,100,14.74
11,2130515,1024,476,100,707.28
12,2130278,1024,476,100,1,105.69
13,2129851,1024,476,100,11.04
14,2130437,1024,476,100,30.51
15,2130150,1024,476,100,2,616.79
16,2129916,1024,476,100,8.60
17,2130326,1024,476,100,49.57
18,2129768,1024,476,100,23.04
19,2130350,1024,476,100,36.47
20,2130349,1024,476,100,87.07
21,2130480,1024,476,100,25.70
22,2130173,1024,476,100,1,105.26
23,2130072,1024,476,100,48.49
24,2130452,1024,476,100,223.99
25,2129822,1024,476,100,9.50
26,2130126,1024,476,100,16.39
27,2130365,1024,476,100,50.81
28,2130478,1024,476,100,12.38
29,2129824,1024,476,100,61.75
30,2129962,1024,476,100,4.88
31,2130320,1024,476,100,5.06
32,2130713,1024,476,100,65.77
33,2129775,1024,476,100,24.67
34,2129976,1024,476,100,99.51
35,2130304,1024,476,100,48.75
36,2130438,1024,476,100,33.96
37,2130790,1024,476,100,53.85
38,2130113,1024,476,100,132.34
39,2130136,1024,476,100,63.00
40,2129690,1024,476,100,32.91
41,2130206,1024,476,100,17.95
42,2130382,1024,476,100,28.54
43,2130417,1024,476,100,172.32
44,2129708,1024,476,100,55.32
45,2130982,1024,476,100,180.07
46,2130026,1024,476,100,18.35
47,2130084,1024,476,100,10.78
48,2129487,1024,476,100,15.39
49,2130512,1024,476,100,38.32
50,2129322,1024,476,100,418.76
51,2131727,1024,476,100,13.10
52,2129970,1024,476,100,11.33
53,2129922,1024,476,100,2,963.16
54,2130343,1024,476,100,8.92
55,2130309,1024,476,100,12.76
56,2131394,1024,476,100,89.60
57,2131005,1024,476,100,13.13
58,2130553,1024,476,100,9.78
59,2130281,1024,476,100,107.14
60,2131083,1024,476,100,71.86
61,2129661,1024,476,100,2,566.29
62,2130677,1024,476,100,485.88
63,2130099,1024,476,100,2,550.78
64,2130800,1024,476,100,14.10
65,2130422,1024,476,100,27.57
66,2131109,1024,476,100,10.50
67,2130671,1024,476,100,54.51
68,2129598,1024,476,100,13.48
69,2130658,1024,476,100,57.91
70,2130267,1024,476,100,44.99
71,2130417,1024,476,100,4.15
72,2130505,1024,476,100,83.91
73,2131716,1024,476,100,88.69
74,2130169,1024,476,100,6.73
75,2130622,1024,476,100,9.94
76,2130830,1024,476,100,21.87
77,2130465,1024,476,100,4.53
78,2129990,1024,476,100,75.77
79,2130116,1024,476,100,42.03
80,2130419,1024,476,100,53.97
81,2129338,1024,476,100,39.21
82,2130325,1024,476,100,4.41
83,2131168,1024,476,100,14.63
84,2129756,1024,476,100,1,058.54
85,2130855,1024,476,100,32.16
86,2131045,1024,476,100,14.15
87,2130190,1024,476,100,65.79
88,2129484,1024,476,100,367.98
89,2130314,1024,476,100,37.49
90,2130753,1024,476,100,15.03
91,2130123,1024,476,100,27.32
92,2130298,1024,476,100,1,047.61
93,2129784,1024,476,100,1,233.14
94,2129692,1024,476,100,11.49
95,2130731,1024,476,100,16.01
96,2129945,1024,476,100,1,128.17
97,2129825,1024,476,100,4.50
98,2130707,1024,476,100,3.10
99,2130325,1024,476,100,10.90
100,2130074,1024,476,100,12.34
101,2130128,1024,476,100,58.20
102,2130051,1024,476,100,3.12
103,2130086,1024,476,100,9.82
104,2129912,1024,476,100,4.06
105,2130083,1024,476,100,8.82
106,2130053,1024,476,100,224.98
107,2130541,1024,476,100,12.68
108,2130785,1024,476,100,69.19
109,2130207,1024,476,100,77.19
110,2130074,1024,476,100,30.33
111,2130582,1024,476,100,13.39
112,2129974,1024,476,100,26.51
113,2132917,1024,476,100,31.86
114,2130809,1024,476,100,35.50
115,2130012,1024,476,100,41.76
116,2130053,1024,476,100,4.27
117,2130078,1024,476,100,48.16
118,2130323,1024,476,100,72.92
119,2129642,1024,476,100,19.48
120,2130011,1024,476,100,2.66
121,2129567,1024,476,100,14.42
122,2130627,1024,476,100,18.00
123,2130029,1024,476,100,23.85
124,2129850,1024,476,100,2,460.88
125,2130846,1024,476,100,44.61
126,2130351,1024,476,100,806.85
127,2130090,1024,476,100,8.82
128,2130606,1024,476,100,23.30
129,2130511,1024,476,100,4.86
130,2130806,1024,476,100,76.95
131,2130900,1024,476,100,1,106.54
132,2130407,1024,476,100,39.04
133,2130008,1024,476,100,19.77
134,2130268,1024,476,100,38.12
135,2130337,1024,476,100,8.69
136,2130201,1024,476,100,15.33
137,2130103,1024,476,100,1,106.12
138,2130804,1024,476,100,41.42
139,2130153,1024,476,100,4.89
140,2130506,1024,476,100,710.01
141,2129808,1024,476,100,25.16
142,2129792,1024,476,100,61.57
143,2129837,1024,476,100,70.23
144,2131125,1024,476,100,14.48
145,2129680,1024,476,100,3.33
146,2130476,1024,476,100,15.95
147,2129897,1024,476,100,5.04
148,2130241,1024,476,100,65.32
149,2131258,1024,476,100,80.92
150,2130041,1024,476,100,15.61
151,2130554,1024,476,100,38.24
152,2130719,1024,476,100,40.62
153,2129945,1024,476,100,4.76
154,2133469,1024,476,100,25.71
155,2130414,1024,476,100,13.00
156,2129796,1024,476,100,77.88
157,2130320,1024,476,100,2.14
158,2130313,1024,476,100,2.94
159,2129805,1024,476,100,4.06
160,2129770,1024,476,100,2.04
161,2130041,1024,476,100,35.16
162,2130460,1024,476,100,17.25
