Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,24844422,1024,1152,100,229567,282574
2,24843355,1024,1152,100,233544,551445
3,24844674,1024,1152,100,223845,550102
4,24861161,1024,1152,100,228270,559509
5,24860311,1024,1152,100,228558,276813
6,24860231,1024,1152,100,337561,276621
7,24841987,1024,1152,100,232911,277261
8,24844080,1024,1152,100,229413,270733
9,24844826,1024,1152,100,227718,276493
10,24843952,1024,1152,100,231688,276430
11,24842754,1024,1152,100,228424,276320
12,24843399,1024,1152,100,229473,281166
13,24843200,1024,1152,100,242985,283661
14,24844204,1024,1152,100,232698,282830
15,24860810,1024,1152,100,339485,278925
16,24861817,1024,1152,100,243761,273677
17,24843355,1024,1152,100,324689,547152
18,24844143,1024,1152,100,238958,274445
19,24843557,1024,1152,100,221149,277805
20,24844160,1024,1152,100,226805,270733
21,24845153,1024,1152,100,230138,276493
22,24843254,1024,1152,100,220806,544470
23,24860619,1024,1152,100,230185,276197
24,24843495,1024,1152,100,242440,276493
25,24843598,1024,1152,100,227721,545045
26,24860736,1024,1152,100,229210,277133
27,24844438,1024,1152,100,230279,277133
28,24843292,1024,1152,100,227826,277005
29,24843507,1024,1152,100,231513,276743
30,24844045,1024,1152,100,226670,541205
31,24843603,1024,1152,100,231825,281766
32,24842879,1024,1152,100,235051,275725
33,24860459,1024,1152,100,219303,274061
34,24844347,1024,1152,100,225941,277133
35,24843758,1024,1152,100,223505,273933
36,24874144,1024,1152,100,218189,274061
37,24844609,1024,1152,100,226479,276493
38,24844605,1024,1152,100,230586,277733
39,24843997,1024,1152,100,224689,274661
40,24843804,1024,1152,100,322302,276493
41,24843474,1024,1152,100,230614,277261
42,24844919,1024,1152,100,224715,277133
43,24844293,1024,1152,100,228236,544086
44,24860019,1024,1152,100,230780,281957
45,24843485,1024,1152,100,261866,279942
46,24844031,1024,1152,100,241946,277901
47,24843518,1024,1152,100,344340,276485
48,24844648,1024,1152,100,236168,276621
49,24844618,1024,1152,100,231284,277133
50,24844596,1024,1152,100,231181,277389
51,24861609,1024,1152,100,230878,278566
52,24860069,1024,1152,100,339203,539157
53,24843834,1024,1152,100,238268,544533
54,24856910,1024,1152,100,230651,270477
55,24843769,1024,1152,100,226558,277261
56,24843421,1024,1152,100,227549,493881
57,24843611,1024,1152,100,233545,284390
58,24843029,1024,1152,100,224283,549462
59,24843890,1024,1152,100,334560,276493
60,24844750,1024,1152,100,229994,545173
61,24860687,1024,1152,100,230300,277261
62,24862783,1024,1152,100,247308,283405
63,24844213,1024,1152,100,249795,276493
64,24868143,1024,1152,100,351379,276621
65,24844509,1024,1152,100,223394,271117
66,24853397,1024,1152,100,228828,274789
67,24843974,1024,1152,100,227661,277349
68,24843028,1024,1152,100,227485,275213
69,24860247,1024,1152,100,229961,277005
70,24845245,1024,1152,100,222446,546522
71,24845058,1024,1152,100,227941,281038
72,24861813,1024,1152,100,222144,549334
73,24844164,1024,1152,100,254116,279821
74,24843455,1024,1152,100,243907,544277
75,24842050,1024,1152,100,229016,275853
76,24842139,1024,1152,100,226353,273805
77,24843799,1024,1152,100,227440,277133
78,24843243,1024,1152,100,222501,274061
79,24861130,1024,1152,100,228746,276302
80,24862147,1024,1152,100,232185,551573
81,24844169,1024,1152,100,225582,274021
82,24844143,1024,1152,100,227223,276493
83,24844008,1024,1152,100,224819,284307
84,24843301,1024,1152,100,232143,282406
85,24897081,1024,1152,100,331173,275469
86,24843211,1024,1152,100,236399,272141
87,24862600,1024,1152,100,231364,277133
88,24845197,1024,1152,100,230233,276965
89,24843204,1024,1152,100,231105,277133
90,24863490,1024,1152,100,223610,274445
91,24844040,1024,1152,100,227655,277133
92,24883692,1024,1152,100,301305,279821
93,24844313,1024,1152,100,249558,277133
94,24843142,1024,1152,100,231826,276109
95,24869203,1024,1152,100,230201,277477
96,24842663,1024,1152,100,228980,529382
97,24860644,1024,1152,100,225655,272525
98,24844530,1024,1152,100,232054,275981
99,24843982,1024,1152,100,230513,545045
100,24845853,1024,1152,100,228247,271577
101,24843251,1024,1152,100,227638,270861
102,24842182,1024,1152,100,227460,277380
103,24843022,1024,1152,100,228211,277477
104,24843736,1024,1152,100,218204,273677
105,24843865,1024,1152,100,224577,279904
106,24861017,1024,1152,100,231353,276493
107,24843931,1024,1152,100,232704,282190
108,24867065,1024,1152,100,330244,275213
109,24844702,1024,1152,100,241010,276493
110,24844001,1024,1152,100,224736,272525
111,24844394,1024,1152,100,239827,277005
112,24843590,1024,1152,100,239750,279003
113,24844790,1024,1152,100,231598,276749
114,24843866,1024,1152,100,224215,274957
115,24865118,1024,1152,100,229963,277133
