Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,11859566,1024,864,100,112860,262381
2,12651848,1024,864,100,99779,8421
3,10329845,1024,864,100,93633,869
4,11860146,1024,864,100,97162,269933
5,12110972,1024,864,100,114746,207306
6,12142619,1024,864,100,95799,263917
7,12645756,1024,864,100,117578,869
8,11878931,1024,864,100,93438,263021
9,11890714,1024,864,100,121587,2789
10,11905319,1024,864,100,120316,2917
11,11890843,1024,864,100,104429,7982
12,11895554,1024,864,100,109160,261613
13,11851275,1024,864,100,100536,2277
14,11871466,1024,864,100,112188,261869
15,11874394,1024,864,100,99905,268909
16,11884197,1024,864,100,116605,263149
17,12650881,1024,864,100,100351,268653
18,11874272,1024,864,100,114963,261869
19,12645590,1024,864,100,117721,261613
20,12647295,1024,864,100,137689,3557
21,12103641,1024,864,100,111995,261613
22,12109983,1024,864,100,94291,268141
23,12639296,1024,864,100,100697,7909
24,12646302,1024,864,100,106239,9189
25,12643622,1024,864,100,101994,7781
26,12129038,1024,864,100,115061,261997
27,11859729,1024,864,100,121754,262765
28,10323136,1024,864,100,76075,268397
29,11877281,1024,864,100,99281,7269
30,12637013,1024,864,100,100575,269293
31,11880162,1024,864,100,112889,261613
32,12627913,1024,864,100,106872,70265
33,12639874,1024,864,100,110830,264045
34,11874454,1024,864,100,117259,261869
35,12628860,1024,864,100,119773,270226
36,11873558,1024,864,100,104483,3045
37,12646390,1024,864,100,100851,268013
38,11900278,1024,864,100,115539,263277
39,11874902,1024,864,100,111026,261869
40,12650139,1024,864,100,98608,269853
41,11905672,1024,864,100,109548,997
42,10304535,1024,864,100,76770,269421
43,12658429,1024,864,100,120312,269498
44,12109712,1024,864,100,99853,263789
45,11852291,1024,864,100,110066,1381
46,12638825,1024,864,100,105879,270701
47,11912632,1024,864,100,112713,269750
48,12639310,1024,864,100,118688,262642
49,11861198,1024,864,100,108311,270139
50,12627199,1024,864,100,117139,261869
51,12109738,1024,864,100,111931,262125
52,11865199,1024,864,100,108407,869
53,11865166,1024,864,100,122232,2365
54,11871703,1024,864,100,111884,262582
55,10322267,1024,864,100,77538,9134
56,11580551,1024,864,100,108066,1341
57,11103420,1024,864,100,92318,7653
58,12647875,1024,864,100,131971,2405
59,11911718,1024,864,100,110187,9006
60,11882490,1024,864,100,93091,269037
61,11860928,1024,864,100,111230,261869
62,11873878,1024,864,100,110071,262125
63,12659529,1024,864,100,104260,270189
64,12639411,1024,864,100,121295,8114
65,11884729,1024,864,100,109108,261869
66,11580646,1024,864,100,90823,268685
67,11906348,1024,864,100,108146,268982
68,12114098,1024,864,100,114735,1125
69,11885359,1024,864,100,97011,268013
70,11910494,1024,864,100,98847,9701
71,10312472,1024,864,100,95350,9134
72,11855713,1024,864,100,109143,1085
73,12652341,1024,864,100,104147,268653
74,11872258,1024,864,100,125070,262125
75,12640053,1024,864,100,103560,9701
76,10323943,1024,864,100,74391,268909
77,11885427,1024,864,100,110806,997
78,11917549,1024,864,100,111894,261613
79,11882006,1024,864,100,100474,10085
80,11085656,1024,864,100,88473,8693
81,12657624,1024,864,100,112793,263789
82,12629109,1024,864,100,98956,269421
83,11883707,1024,864,100,103370,269933
84,10323392,1024,864,100,79097,1975
85,11864429,1024,864,100,92538,264941
86,12644736,1024,864,100,141438,264173
87,11093856,1024,864,100,95866,263149
88,12103653,1024,864,100,95722,264045
89,11880286,1024,864,100,104490,264045
90,12644589,1024,864,100,100115,268653
91,11885682,1024,864,100,91317,8421
92,11907461,1024,864,100,111467,1381
93,11877288,1024,864,100,93405,268525
94,11887963,1024,864,100,99800,261734
95,11885226,1024,864,100,103318,6373
96,12647021,1024,864,100,111384,7013
97,11873752,1024,864,100,109260,8238
98,11093429,1024,864,100,103561,261613
99,11859954,1024,864,100,108756,261618
100,12658208,1024,864,100,107420,7397
101,11856430,1024,864,100,112939,8242
102,11905306,1024,864,100,96424,3261
103,11094470,1024,864,100,85705,262893
104,11603211,1024,864,100,100677,1125
105,11581365,1024,864,100,111631,261829
106,11580002,1024,864,100,107212,261613
107,12644353,1024,864,100,126275,2621
108,11582254,1024,864,100,98915,9701
109,12619649,1024,864,100,108723,270189
110,11874404,1024,864,100,109497,1125
111,11881242,1024,864,100,112561,261613
112,11092700,1024,864,100,104046,261741
113,11905944,1024,864,100,114115,261997
114,11094208,1024,864,100,117216,3045
115,11882530,1024,864,100,108552,1637
116,12658979,1024,864,100,119052,261741
117,12645448,1024,864,100,119887,262893
118,11095651,1024,864,100,105852,262765
119,12646480,1024,864,100,117573,8750
120,12656635,1024,864,100,118536,2149
121,11570836,1024,864,100,107775,262125
122,11884516,1024,864,100,95017,9573
123,12645625,1024,864,100,119032,261869
124,12639737,1024,864,100,99731,272326
125,11886292,1024,864,100,128095,264034
126,11915632,1024,864,100,112463,216121
127,11865309,1024,864,100,111907,2021
128,11881482,1024,864,100,108528,1637
129,12635208,1024,864,100,99977,269933
130,11902183,1024,864,100,96712,1509
131,11915718,1024,864,100,113594,270701
132,10328578,1024,864,100,99234,270138
133,11895794,1024,864,100,94942,7909
134,11874512,1024,864,100,93457,10530
135,11907686,1024,864,100,99524,7525
136,11104853,1024,864,100,103225,869
137,11094314,1024,864,100,84499,2021
138,11895484,1024,864,100,94473,9134
139,11568699,1024,864,100,86104,264045
140,11093639,1024,864,100,102663,1509
141,11878390,1024,864,100,125133,267885
142,11873960,1024,864,100,92273,268653
143,11864661,1024,864,100,113446,261613
144,12113489,1024,864,100,95274,9405
145,11105137,1024,864,100,82513,268909
146,12104215,1024,864,100,104934,271341
147,12627637,1024,864,100,110238,268013
148,11873486,1024,864,100,112000,261997
149,12645931,1024,864,100,130951,2533
150,11900355,1024,864,100,92876,268909
151,11897994,1024,864,100,111941,262125
152,12657346,1024,864,100,119229,209173
153,12109272,1024,864,100,111192,869
154,11896465,1024,864,100,119730,2740
155,11885259,1024,864,100,93076,268013
156,12095383,1024,864,100,113150,261869
157,11877536,1024,864,100,92194,9135
158,12656537,1024,864,100,115742,1509
159,10329125,1024,864,100,98290,92753
160,11877471,1024,864,100,110227,5810
161,12645936,1024,864,100,109527,265581
162,11915716,1024,864,100,102651,265965
163,12645117,1024,864,100,117632,261997
164,11881042,1024,864,100,108654,261829
165,11882440,1024,864,100,88823,269805
166,11863947,1024,864,100,94576,268741
167,11881638,1024,864,100,100405,268013
168,12093017,1024,864,100,119964,262893
169,11877459,1024,864,100,114651,262253
170,11876123,1024,864,100,108236,869
171,12640284,1024,864,100,98123,269165
172,12657475,1024,864,100,100653,268997
173,11859783,1024,864,100,91790,8805
174,12642011,1024,864,100,119633,269750
175,11885769,1024,864,100,111122,2277
176,11918578,1024,864,100,113197,1125
177,10324182,1024,864,100,98866,869
178,10312459,1024,864,100,78671,1381
179,11093210,1024,864,100,112218,266349
180,11874610,1024,864,100,113505,262582
181,11860717,1024,864,100,100234,263149
182,12648230,1024,864,100,100168,268653
183,12111107,1024,864,100,94028,7909
184,12640383,1024,864,100,106513,7653
185,10323607,1024,864,100,82117,9277
186,12639009,1024,864,100,117855,261869
187,11856824,1024,864,100,107893,262125
188,11861123,1024,864,100,120991,2621
189,11911791,1024,864,100,126951,263661
190,11881176,1024,864,100,107157,261869
191,12646568,1024,864,100,122290,261741
192,12647685,1024,864,100,99115,269037
193,11881410,1024,864,100,92343,263533
194,10312564,1024,864,100,103598,2229
195,10313185,1024,864,100,102440,3133
196,12639021,1024,864,100,99622,268653
197,12635439,1024,864,100,108806,2661
198,11091250,1024,864,100,84411,263021
199,12650004,1024,864,100,133137,3045
200,10322273,1024,864,100,97556,9006
201,10323755,1024,864,100,97092,1085
202,12626658,1024,864,100,95855,268909
203,12635610,1024,864,100,111899,2149
204,12623419,1024,864,100,111914,240621
205,12635663,1024,864,100,121195,261829
206,12639233,1024,864,100,115679,262893
207,11571841,1024,864,100,118773,2789
208,12653948,1024,864,100,117347,1253
209,11877541,1024,864,100,95732,3045
210,11870862,1024,864,100,116024,262765
211,12635423,1024,864,100,98112,268909
212,11581213,1024,864,100,110209,261997
213,10332992,1024,864,100,93728,261613
214,12640867,1024,864,100,108218,10341
215,11900929,1024,864,100,91403,268653
216,11897515,1024,864,100,93572,268525
217,11883889,1024,864,100,106127,1285
218,11887570,1024,864,100,108431,3173
219,11573435,1024,864,100,90121,263789
220,11875185,1024,864,100,95906,265532
221,11860487,1024,864,100,111333,269805
222,11874850,1024,864,100,112308,269750
223,12645941,1024,864,100,98022,269677
224,11862613,1024,864,100,91160,268869
225,11874120,1024,864,100,109519,2149
226,11874621,1024,864,100,103062,1509
227,11864605,1024,864,100,107938,262125
228,11571652,1024,864,100,88068,268141
229,11863964,1024,864,100,103785,264813
230,11891117,1024,864,100,96559,268013
231,11900014,1024,864,100,89573,269677
232,11875140,1024,864,100,110202,1597
233,12652479,1024,864,100,119769,261869
234,11860705,1024,864,100,117802,1341
235,11103308,1024,864,100,114272,3517
236,11881193,1024,864,100,122561,2405
237,11906325,1024,864,100,100876,268269
238,12659006,1024,864,100,107935,1765
239,11861092,1024,864,100,102884,262381
240,12647624,1024,864,100,108646,271085
241,12656713,1024,864,100,100225,268653
242,11877072,1024,864,100,91415,8037
243,11884774,1024,864,100,97693,270533
244,11586040,1024,864,100,92306,1637
245,11859780,1024,864,100,99823,262253
246,12646068,1024,864,100,104971,271085
247,11881295,1024,864,100,104095,265837
248,12642873,1024,864,100,122633,262253
249,11874274,1024,864,100,100367,269750
250,12625282,1024,864,100,108625,268525
251,10314171,1024,864,100,95641,261613
252,12659486,1024,864,100,118125,261869
253,11572844,1024,864,100,88749,3301
254,12645675,1024,864,100,123293,9445
255,11910257,1024,864,100,107849,2493
256,11896842,1024,864,100,99725,148329
257,12640559,1024,864,100,98591,269170
258,12659082,1024,864,100,99100,8293
259,11880013,1024,864,100,113709,270726
260,11883316,1024,864,100,111979,869
261,11885785,1024,864,100,107236,269878
262,11906084,1024,864,100,96104,263149
263,12645024,1024,864,100,112607,261997
264,11885144,1024,864,100,112712,1381
265,12646202,1024,864,100,107425,6501
266,10322938,1024,864,100,97732,869
267,12634482,1024,864,100,118803,997
268,12648775,1024,864,100,98943,3941
269,11905811,1024,864,100,111420,261613
270,11896178,1024,864,100,92359,264429
271,10311639,1024,864,100,74822,269421
272,11865183,1024,864,100,112975,869
273,12657212,1024,864,100,99247,268909
274,11580974,1024,864,100,107939,270390
275,12111215,1024,864,100,114863,261613
276,10323456,1024,864,100,78121,269165
277,11900358,1024,864,100,104414,262381
278,11091422,1024,864,100,109194,263277
279,12660234,1024,864,100,105976,2405
280,11881503,1024,864,100,111327,261741
281,11860918,1024,864,100,109789,1381
282,11571837,1024,864,100,121804,2493
283,11873140,1024,864,100,103758,1381
284,12659499,1024,864,100,98096,7781
285,11878333,1024,864,100,121189,2533
286,11870167,1024,864,100,102866,263149
287,11876684,1024,864,100,108878,261869
288,11918032,1024,864,100,109833,262509
289,12651914,1024,864,100,100657,8165
290,11878680,1024,864,100,93087,268653
291,12644166,1024,864,100,117271,262125
292,12623666,1024,864,100,123886,2789
293,12646181,1024,864,100,118508,261613
294,12628321,1024,864,100,105639,268269
295,11873664,1024,864,100,106158,1597
296,12639906,1024,864,100,112260,262253
297,11874401,1024,864,100,112298,9189
298,11877366,1024,864,100,104979,262125
299,11571743,1024,864,100,86656,268909
300,11569559,1024,864,100,87978,8933
301,11885411,1024,864,100,111475,262253
302,11875234,1024,864,100,104133,268013
303,11860296,1024,864,100,89071,268909
304,11918164,1024,864,100,93239,268653
305,11880066,1024,864,100,111618,869
306,11885253,1024,864,100,93684,2533
307,11874850,1024,864,100,92470,9701
308,12106052,1024,864,100,101022,7781
309,11873672,1024,864,100,91969,263277
310,12645850,1024,864,100,116447,262253
311,12646355,1024,864,100,104702,155941
312,11917531,1024,864,100,100087,263021
313,11102491,1024,864,100,106290,266302
314,12658212,1024,864,100,111243,262637
315,11876122,1024,864,100,92218,269037
316,12692833,1024,864,100,118839,1381
317,11575095,1024,864,100,87893,269293
318,11852298,1024,864,100,103119,1381
319,11886294,1024,864,100,106040,9390
320,12643614,1024,864,100,100128,8165
321,12656608,1024,864,100,103085,7485
322,11876361,1024,864,100,112421,1381
323,12646968,1024,864,100,101735,269421
324,11871354,1024,864,100,92624,11639
325,12649678,1024,864,100,114046,262509
326,11572213,1024,864,100,105127,269805
327,12111216,1024,864,100,114481,9262
328,12639440,1024,864,100,96477,8933
329,12635798,1024,864,100,117562,869
330,11886865,1024,864,100,102650,270957
331,12637729,1024,864,100,99996,8933
332,11880498,1024,864,100,104546,869
333,12640674,1024,864,100,113473,270317
334,10323392,1024,864,100,75981,1765
335,11918686,1024,864,100,99976,268013
336,11874541,1024,864,100,91414,2533
337,12644298,1024,864,100,115636,262253
338,11905876,1024,864,100,122987,4837
339,11858085,1024,864,100,93291,267501
340,12654671,1024,864,100,100507,8805
341,11881331,1024,864,100,98697,270317
342,11876922,1024,864,100,115850,2533
343,12645606,1024,864,100,120465,1582
