Index,Exec_time,addr,GPU_addr
1,2533919.000000,0x7f2258000000,0x7f2210000000
2,2535768.750000,0x7fc39e000000,0x7fc356000000
3,2534466.250000,0x7fc1d8000000,0x7fc190000000
4,2536329.000000,0x7f2de8000000,0x7f2da6000000
5,2534236.750000,0x7fbd22000000,0x7fbce0000000
6,2535560.750000,0x7f9f2e000000,0x7f9eec000000
7,2538755.250000,0x7f29e0000000,0x7f2998000000
8,2537612.000000,0x7f94b8000000,0x7f9470000000
9,2538183.000000,0x7f6b28000000,0x7f6ae6000000
10,2538893.000000,0x7fc74c000000,0x7fc70a000000
11,2540491.000000,0x7fad5e000000,0x7fad1c000000
12,2537371.500000,0x7f174c000000,0x7f170a000000
13,2538451.750000,0x7ffb6e000000,0x7ffb26000000
14,2537696.500000,0x7f09c2000000,0x7f097a000000
15,2539547.000000,0x7f5b62000000,0x7f5b20000000
16,2537525.250000,0x7f3630000000,0x7f35e8000000
17,2538967.750000,0x7f7482000000,0x7f743a000000
18,2539485.750000,0x7fbb02000000,0x7fbac2000000
19,2537144.500000,0x7f883e000000,0x7f87f6000000
20,2538817.500000,0x7f7080000000,0x7f7038000000
21,2539196.250000,0x7fc342000000,0x7fc300000000
22,2539125.750000,0x7f0c32000000,0x7f0bea000000
23,2538137.750000,0x7f2a22000000,0x7f29e0000000
24,2539529.000000,0x7f51fe000000,0x7f51b6000000
25,2538434.250000,0x7f851e000000,0x7f84d6000000
26,2537758.000000,0x7ff7b8000000,0x7ff770000000
27,2537542.750000,0x7f6d98000000,0x7f6d50000000
28,2539580.750000,0x7f598e000000,0x7f5946000000
29,2537618.750000,0x7f904e000000,0x7f900c000000
30,2539349.750000,0x7fa590000000,0x7fa548000000
31,2540048.750000,0x7f4d60000000,0x7f4d1e000000
32,2538058.000000,0x7f0952000000,0x7f090a000000
33,2538278.500000,0x7f0cc2000000,0x7f0c7a000000
34,2536360.000000,0x7f4062000000,0x7f4020000000
35,2536911.000000,0x7fa4c2000000,0x7fa482000000
36,2537684.500000,0x7fe530000000,0x7fe4e8000000
37,2537048.000000,0x7fbcfa000000,0x7fbcb8000000
38,2543321.500000,0x7f553e000000,0x7f54f6000000
39,2548059.750000,0x7ff4f2000000,0x7ff4aa000000
40,2549172.000000,0x7f10c2000000,0x7f1080000000
41,2547633.250000,0x7f7210000000,0x7f71c8000000
42,2547510.750000,0x7f7f42000000,0x7f7f00000000
43,2547377.000000,0x7feea2000000,0x7fee60000000
44,2546520.250000,0x7fface000000,0x7ffa86000000
45,2548158.750000,0x7fb4dc000000,0x7fb49a000000
46,2547977.500000,0x7fe750000000,0x7fe70e000000
47,2546996.750000,0x7f46d8000000,0x7f4690000000
48,2547398.750000,0x7f8f1e000000,0x7f8ed6000000
49,2546896.000000,0x7fe360000000,0x7fe318000000
50,2547933.500000,0x7f0038000000,0x7efff6000000
51,2546964.500000,0x7fb6f0000000,0x7fb6a8000000
52,2546504.500000,0x7f7140000000,0x7f70fe000000
53,2547542.500000,0x7f6db2000000,0x7f6d70000000
54,2547133.500000,0x7f86bc000000,0x7f867a000000
55,2548159.250000,0x7fb98e000000,0x7fb94c000000
56,2547046.000000,0x7f960e000000,0x7f95cc000000
57,2548845.000000,0x7f3178000000,0x7f3136000000
58,2547240.250000,0x7ff7d0000000,0x7ff78e000000
59,2548087.750000,0x7fa7d2000000,0x7fa790000000
60,2548741.500000,0x7ff3c8000000,0x7ff380000000
61,2545734.500000,0x7fdc1c000000,0x7fdbda000000
62,2546500.750000,0x7fa98e000000,0x7fa946000000
63,2547486.750000,0x7fb1d2000000,0x7fb190000000
64,2548683.000000,0x7feb9e000000,0x7feb56000000
65,2547138.750000,0x7f435a000000,0x7f4318000000
66,2548424.500000,0x7f31c8000000,0x7f3186000000
67,2546762.750000,0x7fd542000000,0x7fd4fa000000
68,2545990.000000,0x7ff54e000000,0x7ff506000000
69,2548181.000000,0x7fa1ac000000,0x7fa16a000000
70,2547390.750000,0x7fa868000000,0x7fa820000000
71,2547021.250000,0x7f00c2000000,0x7f007a000000
72,2548535.000000,0x7fda1e000000,0x7fd9dc000000
73,2546927.250000,0x7fb390000000,0x7fb348000000
74,2547618.750000,0x7f7672000000,0x7f7630000000
