Index,Exec_time,addr,GPU_addr
116,3668.171631,0x7f0062000000,0x7eff60000000
117,3673.839600,0x7fcb10000000,0x7fca0e000000
118,3668.255859,0x7f637e000000,0x7f6276000000
119,3668.391357,0x7f828c000000,0x7f818a000000
120,3668.643066,0x7f39e8000000,0x7f38e0000000
121,3669.344482,0x7f4db8000000,0x7f4cb0000000
122,3666.974365,0x7f0dde000000,0x7f0cd6000000
123,3675.973145,0x7f2c60000000,0x7f2b58000000
124,3668.433594,0x7fabb8000000,0x7faab0000000
125,3667.710938,0x7f1f8e000000,0x7f1e8c000000
126,3670.913086,0x7f92de000000,0x7f91d6000000
127,3668.595703,0x7f5b88000000,0x7f5a86000000
128,3668.988281,0x7f348c000000,0x7f338a000000
129,3674.086670,0x7fdcf2000000,0x7fdbea000000
130,3668.742920,0x7fadf8000000,0x7facf6000000
131,3672.309082,0x7fcef8000000,0x7fcdf6000000
132,3672.864990,0x7fbf02000000,0x7fbdfa000000
133,3670.489746,0x7f20fe000000,0x7f1ff6000000
134,3668.130371,0x7f9dae000000,0x7f9ca6000000
135,3671.853760,0x7fb1b2000000,0x7fb0aa000000
136,3669.339355,0x7f7bae000000,0x7f7aa6000000
137,3673.117432,0x7ff5fa000000,0x7ff4f8000000
138,3672.062012,0x7fd912000000,0x7fd80a000000
139,3668.685059,0x7eff70000000,0x7efe68000000
140,3666.344971,0x7efbe2000000,0x7efae0000000
141,3668.951416,0x7f33ec000000,0x7f32e4000000
142,3673.390381,0x7efae8000000,0x7ef9e0000000
143,3666.229980,0x7f9a72000000,0x7f9972000000
144,3669.780029,0x7f8250000000,0x7f8148000000
145,3666.970703,0x7f6792000000,0x7f668a000000
146,3667.684814,0x7fbec0000000,0x7fbdb8000000
147,3669.967773,0x7f28fa000000,0x7f27f2000000
148,3669.339844,0x7f32ce000000,0x7f31cc000000
149,3672.416992,0x7f9a58000000,0x7f9950000000
150,3667.015625,0x7fe8de000000,0x7fe7dc000000
151,3667.865967,0x7f05bc000000,0x7f04b4000000
152,3674.120605,0x7f6248000000,0x7f6146000000
153,3675.571777,0x7f5668000000,0x7f5566000000
154,3668.973145,0x7f6d2e000000,0x7f6c2c000000
155,3668.562256,0x7fdbee000000,0x7fdaec000000
156,3676.141602,0x7fbe52000000,0x7fbd4a000000
157,3675.468262,0x7fe55e000000,0x7fe456000000
158,3675.769775,0x7fedc2000000,0x7fecba000000
