Index,Exec_time,addr,GPU_addr
120,739.519958,0x7f4960000000,0x7f4858000000
121,804.480042,0x7fb970000000,0x7fb86e000000
122,744.000000,0x7f818e000000,0x7f8086000000
123,740.159973,0x7fc702000000,0x7fc600000000
124,737.920044,0x7f3a3e000000,0x7f3936000000
125,735.040039,0x7f1628000000,0x7f1520000000
126,734.080017,0x7f9c60000000,0x7f9b5e000000
127,736.320007,0x7f7cbe000000,0x7f7bb6000000
128,797.120056,0x7f3ff2000000,0x7f3eea000000
129,774.400024,0x7f0042000000,0x7eff40000000
130,727.360046,0x7f959e000000,0x7f9496000000
131,729.599976,0x7f1122000000,0x7f101a000000
132,739.199951,0x7f4a22000000,0x7f491a000000
133,767.040039,0x7fa848000000,0x7fa746000000
134,752.320007,0x7fead8000000,0x7fe9d6000000
135,734.080017,0x7f6dd0000000,0x7f6cce000000
136,808.639954,0x7fd6d6000000,0x7fd5d4000000
137,748.799988,0x7f3012000000,0x7f2f10000000
138,746.559998,0x7fe120000000,0x7fe018000000
139,737.280029,0x7f8f98000000,0x7f8e96000000
140,729.919983,0x7f1e78000000,0x7f1d76000000
141,734.080017,0x7f02c8000000,0x7f01c6000000
142,741.119995,0x7fab80000000,0x7faa7e000000
143,732.159973,0x7f3ade000000,0x7f39dc000000
144,731.519958,0x7f2f70000000,0x7f2e68000000
145,736.960022,0x7f9b38000000,0x7f9a30000000
146,738.879944,0x7f7b58000000,0x7f7a56000000
147,739.839966,0x7fa25c000000,0x7fa154000000
148,726.080017,0x7f2992000000,0x7f2890000000
149,796.800049,0x7f3a32000000,0x7f392a000000
150,728.960022,0x7fb742000000,0x7fb63a000000
151,736.320007,0x7f8bfe000000,0x7f8afc000000
152,730.559998,0x7efd8e000000,0x7efc8c000000
153,797.120056,0x7f2de8000000,0x7f2ce0000000
154,729.599976,0x7f674c000000,0x7f6644000000
155,726.720032,0x7fd0a8000000,0x7fcfa0000000
156,729.279968,0x7fd2a2000000,0x7fd19a000000
157,739.519958,0x7fb1b0000000,0x7fb0a8000000
158,732.159973,0x7fb9be000000,0x7fb8bc000000
159,729.599976,0x7f92e0000000,0x7f91de000000
160,811.200012,0x7f1c2e000000,0x7f1b26000000
161,734.720032,0x7f4e9e000000,0x7f4d96000000
162,802.880005,0x7effee000000,0x7efeec000000
163,727.680054,0x7f1dac000000,0x7f1caa000000
164,806.400024,0x7f4abe000000,0x7f49b6000000
165,725.440002,0x7f28f2000000,0x7f27f0000000
166,727.360046,0x7ff7d2000000,0x7ff6ca000000
167,726.400024,0x7f75ee000000,0x7f74e6000000
168,756.800049,0x7fc862000000,0x7fc760000000
169,728.960022,0x7f7608000000,0x7f7500000000
170,728.320007,0x7f2e62000000,0x7f2d60000000
171,729.599976,0x7fb648000000,0x7fb540000000
172,722.239990,0x7fbd08000000,0x7fbc00000000
173,722.880005,0x7f81f2000000,0x7f80f0000000
174,730.239990,0x7f7cc2000000,0x7f7bc0000000
175,734.400024,0x7f5bd2000000,0x7f5aca000000
176,737.920044,0x7f7da8000000,0x7f7ca6000000
177,726.400024,0x7f6cec000000,0x7f6bea000000
178,719.040039,0x7ff2d8000000,0x7ff1d6000000
179,729.279968,0x7fa750000000,0x7fa64e000000
180,739.839966,0x7fa688000000,0x7fa580000000
181,729.919983,0x7f6be0000000,0x7f6ad8000000
182,741.760010,0x7fd1d2000000,0x7fd0ca000000
183,730.239990,0x7f3c1a000000,0x7f3b18000000
184,803.840027,0x7f8ebe000000,0x7f8dbc000000
185,780.479980,0x7fe388000000,0x7fe280000000
186,732.799988,0x7f5978000000,0x7f5870000000
187,733.760010,0x7f6030000000,0x7f5f2e000000
188,737.280029,0x7f90fe000000,0x7f8ff6000000
189,738.240051,0x7f60f8000000,0x7f5ff0000000
190,809.279968,0x7f1ca2000000,0x7f1ba0000000
191,729.599976,0x7f5c28000000,0x7f5b26000000
192,729.599976,0x7f7a62000000,0x7f7960000000
193,731.199951,0x7f5af8000000,0x7f59f0000000
194,721.599976,0x7fc472000000,0x7fc36a000000
195,737.280029,0x7f8ba8000000,0x7f8aa0000000
196,733.760010,0x7fe020000000,0x7fdf18000000
197,807.999939,0x7fd978000000,0x7fd876000000
198,734.720032,0x7f1ec0000000,0x7f1dbe000000
199,738.240051,0x7fd5a8000000,0x7fd4a0000000
200,744.000000,0x7fae22000000,0x7fad1a000000
201,748.160034,0x7f24b8000000,0x7f23b6000000
202,759.359985,0x7ff128000000,0x7ff026000000
203,738.879944,0x7feb58000000,0x7fea50000000
204,744.640015,0x7f4c2e000000,0x7f4b26000000
205,745.600037,0x7f5b30000000,0x7f5a2e000000
206,740.479980,0x7fc16e000000,0x7fc06c000000
207,766.400024,0x7ffac2000000,0x7ff9c0000000
208,738.240051,0x7fcf42000000,0x7fce40000000
209,724.799988,0x7fe772000000,0x7fe670000000
210,730.239990,0x7fe270000000,0x7fe168000000
211,734.080017,0x7f955e000000,0x7f945c000000
212,738.879944,0x7f1d7e000000,0x7f1c7c000000
213,729.919983,0x7f5fde000000,0x7f5ed6000000
214,791.359985,0x7f6cbc000000,0x7f6bba000000
215,780.479980,0x7f8002000000,0x7f7f00000000
216,738.879944,0x7fcc02000000,0x7fcafa000000
