Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
186,2799461,1024,626,100,19.89
187,2803857,1024,626,100,5.52
188,2800528,1024,626,100,542.31
189,2800132,1024,626,100,30.46
190,2799864,1024,626,100,18.24
191,2799742,1024,626,100,16.55
192,2801634,1024,626,100,6.83
193,2800202,1024,626,100,20.15
194,2800721,1024,626,100,21.92
195,2801918,1024,626,100,34.28
196,2800086,1024,626,100,20.55
197,2800055,1024,626,100,10.48
198,2799491,1024,626,100,5.85
199,2800038,1024,626,100,26.97
200,2800731,1024,626,100,28.92
201,2800698,1024,626,100,81.68
202,2801151,1024,626,100,16.48
203,2800436,1024,626,100,4.26
204,2799602,1024,626,100,19.74
205,2800943,1024,626,100,8.48
206,2800500,1024,626,100,7.30
207,2799368,1024,626,100,88.59
208,2800189,1024,626,100,6.45
209,2800198,1024,626,100,70.01
210,2801052,1024,626,100,8.38
211,2799684,1024,626,100,7.00
212,2800623,1024,626,100,5.31
213,2800601,1024,626,100,17.00
214,2800801,1024,626,100,99.55
215,2799635,1024,626,100,46.23
216,2799488,1024,626,100,11.07
217,2800877,1024,626,100,8.87
218,2800135,1024,626,100,22.29
219,2800133,1024,626,100,25.18
220,2800679,1024,626,100,2,776.52
221,2801072,1024,626,100,20.48
222,2799758,1024,626,100,5.59
223,2800592,1024,626,100,15.19
224,2799921,1024,626,100,16.34
225,2800756,1024,626,100,37.14
226,2801644,1024,626,100,25.20
227,2800008,1024,626,100,14.07
228,2799447,1024,626,100,4.81
229,2800049,1024,626,100,15.21
230,2800345,1024,626,100,11.10
231,2800175,1024,626,100,26.84
232,2799558,1024,626,100,10.27
233,2800665,1024,626,100,155.62
234,2800866,1024,626,100,60.77
235,2801113,1024,626,100,57.34
236,2799819,1024,626,100,4.39
237,2800343,1024,626,100,8.65
238,2800735,1024,626,100,4.39
239,2801222,1024,626,100,24.72
240,2799569,1024,626,100,4.90
241,2800660,1024,626,100,29.39
242,2799809,1024,626,100,10.07
243,2800012,1024,626,100,8.50
244,2800088,1024,626,100,3.65
245,2800531,1024,626,100,53.62
246,2800159,1024,626,100,5.66
247,2799784,1024,626,100,8.99
248,2799604,1024,626,100,63.82
249,2799913,1024,626,100,14.01
250,2801197,1024,626,100,6.95
251,2799896,1024,626,100,7.23
252,2800506,1024,626,100,17.30
253,2800638,1024,626,100,6.40
254,2800314,1024,626,100,11.10
255,2799093,1024,626,100,313.49
256,2798999,1024,626,100,20.43
257,2800247,1024,626,100,24.12
258,2801105,1024,626,100,52.11
259,2799385,1024,626,100,6.38
260,2800895,1024,626,100,26.56
261,2800266,1024,626,100,162.90
262,2799769,1024,626,100,67.89
263,2800559,1024,626,100,27.65
264,2800597,1024,626,100,11.76
265,2799630,1024,626,100,4.59
266,2801213,1024,626,100,73.80
267,2800211,1024,626,100,15.06
268,2800407,1024,626,100,11.16
269,2800319,1024,626,100,10.80
270,2799188,1024,626,100,36.06
271,2800507,1024,626,100,67.54
272,2799743,1024,626,100,3.90
273,2799776,1024,626,100,24.50
274,2799641,1024,626,100,37.97
275,2800307,1024,626,100,29.45
276,2801066,1024,626,100,84.70
277,2800019,1024,626,100,93.12
278,2799747,1024,626,100,22.79
279,2799018,1024,626,100,15.55
280,2799638,1024,626,100,33.80
281,2799880,1024,626,100,36.60
282,2799842,1024,626,100,21.23
283,2800299,1024,626,100,90.70
284,2799769,1024,626,100,62.41
285,2800286,1024,626,100,5.36
286,2800277,1024,626,100,10.65
287,2800302,1024,626,100,4.33
288,2800273,1024,626,100,5.44
289,2799058,1024,626,100,18.55
290,2800062,1024,626,100,46.72
291,2800949,1024,626,100,8.72
292,2800550,1024,626,100,17.60
293,2800030,1024,626,100,19.55
294,2800251,1024,626,100,65.15
295,2799855,1024,626,100,1,110.51
296,2801034,1024,626,100,4,512.90
297,2800140,1024,626,100,10.09
298,2800596,1024,626,100,43.30
299,2800804,1024,626,100,7.48
300,2800440,1024,626,100,1,765.20
301,2799032,1024,626,100,1,300.12
302,2800757,1024,626,100,57.42
303,2800330,1024,626,100,74.26
304,2799670,1024,626,100,5.89
305,2799940,1024,626,100,24.85
306,2800327,1024,626,100,12.85
307,2800486,1024,626,100,27.92
308,2799819,1024,626,100,65.65
309,2799581,1024,626,100,10.61
310,2800865,1024,626,100,25.37
311,2801605,1024,626,100,14.63
312,2800970,1024,626,100,4.62
313,2800445,1024,626,100,47.22
314,2800629,1024,626,100,7.85
315,2799842,1024,626,100,18.27
316,2800006,1024,626,100,4.63
317,2799879,1024,626,100,9.36
318,2800554,1024,626,100,61.73
319,2800647,1024,626,100,77.50
320,2800161,1024,626,100,6.25
321,2800517,1024,626,100,17.28
322,2800754,1024,626,100,50.65
323,2801386,1024,626,100,11.19
324,2800778,1024,626,100,11.27
325,2800292,1024,626,100,3.78
326,2800001,1024,626,100,38.22
327,2799517,1024,626,100,29.88
328,2799927,1024,626,100,10.24
329,2799708,1024,626,100,23.11
330,2800529,1024,626,100,18.40
331,2801014,1024,626,100,34.06
332,2805971,1024,626,100,221.36
333,2800011,1024,626,100,19.13
334,2803803,1024,626,100,34.93
335,2800452,1024,626,100,24.82
336,2799215,1024,626,100,76.38
337,2801550,1024,626,100,65.22
338,2800826,1024,626,100,74.06
339,2799886,1024,626,100,75.82
340,2800922,1024,626,100,26.94
341,2800950,1024,626,100,20.93
342,2800808,1024,626,100,103.06
343,2800644,1024,626,100,7.32
344,2799994,1024,626,100,5.33
345,2799922,1024,626,100,9.64
346,2800377,1024,626,100,17.67
347,2800993,1024,626,100,26.83
348,2800668,1024,626,100,26.50
349,2799913,1024,626,100,19.24
350,2803826,1024,626,100,27.78
351,2800847,1024,626,100,45.42
352,2799901,1024,626,100,18.72
353,2799635,1024,626,100,34.19
354,2798874,1024,626,100,61.86
355,2799962,1024,626,100,6.63
356,2800068,1024,626,100,30.65
357,2800173,1024,626,100,4.05
358,2801106,1024,626,100,11.69
359,2800366,1024,626,100,154.05
360,2800927,1024,626,100,45.47
361,2800263,1024,626,100,8.44
362,2800403,1024,626,100,14.41
363,2800349,1024,626,100,6.75
364,2800442,1024,626,100,7.65
365,2799857,1024,626,100,3.76
366,2800080,1024,626,100,19.37
367,2800277,1024,626,100,25.15
368,2800127,1024,626,100,8.48
369,2800120,1024,626,100,13.63
370,2800177,1024,626,100,28.92
371,2799836,1024,626,100,14.38
372,2800028,1024,626,100,5.86
373,2800958,1024,626,100,21.56
374,2800782,1024,626,100,4.40
375,2800265,1024,626,100,22.08
376,2800907,1024,626,100,11.92
377,2800286,1024,626,100,19.98
378,2799966,1024,626,100,22.86
379,2799803,1024,626,100,19.76
380,2799862,1024,626,100,67.83
381,2806630,1024,626,100,23.73
382,2801131,1024,626,100,2,015.59
383,2800277,1024,626,100,27.15
384,2801003,1024,626,100,53.86
385,2801130,1024,626,100,48.93
386,2800555,1024,626,100,40.38
387,2800128,1024,626,100,12.23
388,2800510,1024,626,100,28.51
389,2800898,1024,626,100,35.15
390,2800705,1024,626,100,10.62
391,2799066,1024,626,100,4.12
392,2799452,1024,626,100,10.35
393,2799788,1024,626,100,15.72
394,2802500,1024,626,100,52.22
395,2799926,1024,626,100,5.00
396,2799990,1024,626,100,6.65
