Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
1,3019835,1024,676,100,118.10
2,3020816,1024,676,100,3.82
3,3019778,1024,676,100,30.14
4,3019422,1024,676,100,69.28
5,3020348,1024,676,100,30.78
6,3021071,1024,676,100,21.70
7,3021439,1024,676,100,41.65
8,3021055,1024,676,100,20.78
9,3020212,1024,676,100,143.66
10,3020430,1024,676,100,33.89
11,3021594,1024,676,100,22.00
12,3020228,1024,676,100,121.61
13,3021485,1024,676,100,33.42
14,3020524,1024,676,100,31.59
15,3021520,1024,676,100,15.81
16,3020351,1024,676,100,15.36
17,3020421,1024,676,100,66.70
18,3020311,1024,676,100,9.88
19,3020713,1024,676,100,17.80
20,3020189,1024,676,100,36.27
21,3020026,1024,676,100,1,055.95
22,3020379,1024,676,100,33.87
23,3020109,1024,676,100,27.26
24,3021329,1024,676,100,12.82
25,3019419,1024,676,100,46.32
26,3021584,1024,676,100,9.43
27,3020175,1024,676,100,14.65
28,3020593,1024,676,100,11.77
29,3019688,1024,676,100,31.79
30,3021193,1024,676,100,26.37
31,3042162,1024,676,100,21.83
32,3019690,1024,676,100,65.33
33,3019977,1024,676,100,50.64
34,3020859,1024,676,100,14.49
35,3020438,1024,676,100,44.56
36,3019760,1024,676,100,5.15
37,3020927,1024,676,100,55.75
38,3020406,1024,676,100,17.74
39,3019477,1024,676,100,30.91
40,3021240,1024,676,100,6.14
41,3019975,1024,676,100,28.37
42,3020526,1024,676,100,17.81
43,3020533,1024,676,100,45.24
44,3021202,1024,676,100,11.83
45,3019998,1024,676,100,5.29
46,3020469,1024,676,100,8.96
47,3021207,1024,676,100,18.54
48,3019967,1024,676,100,4.23
49,3020137,1024,676,100,356.55
50,3020116,1024,676,100,178.19
51,3019907,1024,676,100,330.37
52,3020343,1024,676,100,8.34
53,3020812,1024,676,100,20.35
54,3020762,1024,676,100,19.46
55,3020028,1024,676,100,4.65
56,3020240,1024,676,100,1,977.64
57,3019602,1024,676,100,14.09
58,3020314,1024,676,100,25.31
59,3020989,1024,676,100,48.08
60,3019793,1024,676,100,20.86
61,3021188,1024,676,100,1,316.94
62,3020649,1024,676,100,8.60
63,3020633,1024,676,100,33.78
64,3020435,1024,676,100,12.20
65,3019241,1024,676,100,19.45
66,3020098,1024,676,100,7.03
67,3019918,1024,676,100,15.85
68,3019699,1024,676,100,4.70
69,3020812,1024,676,100,54.20
70,3020535,1024,676,100,109.65
71,3019892,1024,676,100,4.84
72,3020378,1024,676,100,10.78
73,3020722,1024,676,100,18.15
74,3021603,1024,676,100,27.41
75,3020400,1024,676,100,94.87
76,3021310,1024,676,100,31.89
77,3020323,1024,676,100,19.22
78,3021230,1024,676,100,21.81
79,3020693,1024,676,100,59.71
80,3019579,1024,676,100,47.61
81,3021448,1024,676,100,105.81
82,3020911,1024,676,100,10.65
83,3020260,1024,676,100,11.10
84,3020958,1024,676,100,13.38
85,3019978,1024,676,100,14.48
86,3019896,1024,676,100,12.43
87,3020276,1024,676,100,35.01
88,3020289,1024,676,100,98.16
89,3020745,1024,676,100,14.46
90,3020512,1024,676,100,20.43
91,3021019,1024,676,100,9.02
92,3021025,1024,676,100,25.74
93,3020946,1024,676,100,4.78
94,3021209,1024,676,100,6.73
95,3021086,1024,676,100,10.15
96,3020072,1024,676,100,8.45
97,3021435,1024,676,100,42.95
98,3021255,1024,676,100,480.50
99,3019978,1024,676,100,14.42
100,3020859,1024,676,100,38.88
101,3020420,1024,676,100,4.78
102,3020089,1024,676,100,22.44
103,3020212,1024,676,100,28.40
104,3019603,1024,676,100,21.63
105,3019951,1024,676,100,19.06
106,3019292,1024,676,100,7.24
107,3020369,1024,676,100,6.22
108,3020944,1024,676,100,48.49
109,3020494,1024,676,100,40.95
110,3019967,1024,676,100,4.09
111,3024234,1024,676,100,36.73
112,3020002,1024,676,100,23.02
113,3020475,1024,676,100,9.15
114,3021242,1024,676,100,15.89
115,3020199,1024,676,100,5.65
116,3021385,1024,676,100,14.26
117,3021528,1024,676,100,10.43
118,3020457,1024,676,100,7.73
119,3020707,1024,676,100,51.54
120,3020535,1024,676,100,10.89
121,3020224,1024,676,100,49.93
122,3020217,1024,676,100,6.60
123,3020647,1024,676,100,7.02
124,3020509,1024,676,100,14.26
125,3020996,1024,676,100,43.26
