Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
1,2433018,1024,544,100,2.91
2,2432762,1024,544,100,2.31
3,2432879,1024,544,100,63.31
4,2432527,1024,544,100,59.45
5,2432557,1024,544,100,37.82
6,2432584,1024,544,100,7.11
7,2432495,1024,544,100,66.78
8,2432763,1024,544,100,15.28
9,2432489,1024,544,100,17.40
10,2433778,1024,544,100,20.70
11,2433013,1024,544,100,29.05
12,2433305,1024,544,100,24.38
13,2432546,1024,544,100,51.87
14,2433119,1024,544,100,12.70
15,2432379,1024,544,100,1,247.73
16,2432814,1024,544,100,28.73
17,2433110,1024,544,100,27.40
18,2432793,1024,544,100,14.99
19,2436516,1024,544,100,1.34
20,2433401,1024,544,100,28.01
21,2433046,1024,544,100,9.21
22,2434192,1024,544,100,54.61
23,2433115,1024,544,100,29.61
24,2432568,1024,544,100,20.88
25,2433350,1024,544,100,4.77
26,2433619,1024,544,100,11.77
27,2433756,1024,544,100,129.33
28,2432453,1024,544,100,22.07
29,2433038,1024,544,100,5.13
30,2433258,1024,544,100,12.93
31,2432910,1024,544,100,3.12
32,2433233,1024,544,100,27.55
33,2433290,1024,544,100,17.04
34,2433557,1024,544,100,21.44
35,2434956,1024,544,100,82.62
36,2433225,1024,544,100,18.57
37,2432557,1024,544,100,3.38
38,2432116,1024,544,100,12.31
39,2432402,1024,544,100,5.83
40,2433451,1024,544,100,15.58
41,2433561,1024,544,100,39.08
42,2433502,1024,544,100,1.80
43,2433064,1024,544,100,1.82
44,2432457,1024,544,100,39.88
45,2434550,1024,544,100,45.51
46,2433243,1024,544,100,9.43
47,2432368,1024,544,100,226.60
48,2432802,1024,544,100,1.70
49,2433874,1024,544,100,493.96
50,2432637,1024,544,100,21.72
51,2433277,1024,544,100,65.89
52,2432606,1024,544,100,2.83
53,2433759,1024,544,100,928.42
54,2432258,1024,544,100,23.92
55,2433389,1024,544,100,3.53
56,2433306,1024,544,100,17.88
57,2433354,1024,544,100,13.55
58,2433802,1024,544,100,156.30
59,2432538,1024,544,100,13.74
60,2433618,1024,544,100,16.27
61,2432371,1024,544,100,45.63
62,2432797,1024,544,100,34.93
63,2431574,1024,544,100,10.54
64,2433010,1024,544,100,21.69
65,2432866,1024,544,100,4.17
66,2433435,1024,544,100,32.54
67,2434028,1024,544,100,22.26
68,2432091,1024,544,100,9.31
69,2433011,1024,544,100,5.94
70,2433075,1024,544,100,19.89
71,2432765,1024,544,100,13.13
72,2432420,1024,544,100,39.18
73,2433239,1024,544,100,15.06
74,2433735,1024,544,100,46.83
75,2432539,1024,544,100,29.34
76,2433031,1024,544,100,2.45
77,2433421,1024,544,100,1.84
78,2431814,1024,544,100,84.20
79,2432923,1024,544,100,12.13
80,2433133,1024,544,100,46.27
81,2432975,1024,544,100,4.59
82,2432508,1024,544,100,19.42
83,2432026,1024,544,100,5.94
84,2432770,1024,544,100,23.24
85,2433050,1024,544,100,29.10
86,2433401,1024,544,100,8.47
87,2432526,1024,544,100,19.23
88,2434286,1024,544,100,80.23
89,2433694,1024,544,100,7.78
90,2433462,1024,544,100,18.87
91,2432791,1024,544,100,11.94
92,2432703,1024,544,100,22.01
