Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
1,2130479,1024,476,100,4.32
2,2130467,1024,476,100,2,597.44
3,2130374,1024,476,100,116.44
4,2129863,1024,476,100,4.32
5,2130048,1024,476,100,11.06
6,2130284,1024,476,100,20.68
7,2131017,1024,476,100,40.54
8,2130205,1024,476,100,18.48
9,2130923,1024,476,100,13.99
10,2130917,1024,476,100,5.69
11,2130382,1024,476,100,13.68
12,2130255,1024,476,100,23.16
13,2129421,1024,476,100,6.47
14,2129664,1024,476,100,79.99
15,2130201,1024,476,100,15.16
16,2130142,1024,476,100,58.27
17,2130899,1024,476,100,50.80
18,2130613,1024,476,100,58.12
19,2130933,1024,476,100,33.03
20,2130503,1024,476,100,18.26
21,2130681,1024,476,100,7.54
22,2129694,1024,476,100,3.44
23,2130697,1024,476,100,4.17
24,2131289,1024,476,100,5.32
25,2130343,1024,476,100,2.43
26,2129584,1024,476,100,86.78
27,2134184,1024,476,100,59.69
28,2130554,1024,476,100,15.60
29,2130896,1024,476,100,49.20
30,2130427,1024,476,100,10.51
31,2129785,1024,476,100,8.55
32,2129986,1024,476,100,3.26
33,2130588,1024,476,100,9.11
34,2130660,1024,476,100,14.35
35,2130540,1024,476,100,151.52
36,2130570,1024,476,100,5.79
37,2130112,1024,476,100,145.11
38,2131178,1024,476,100,5.86
39,2130188,1024,476,100,7.87
40,2130489,1024,476,100,2,470.27
41,2130140,1024,476,100,1,159.32
42,2130776,1024,476,100,3.09
43,2130516,1024,476,100,8.22
44,2130702,1024,476,100,22.68
45,2130155,1024,476,100,1,181.08
46,2130294,1024,476,100,15.69
47,2130960,1024,476,100,2.49
48,2131241,1024,476,100,3.18
49,2131320,1024,476,100,1.92
50,2130422,1024,476,100,4.38
51,2130743,1024,476,100,10.52
52,2129693,1024,476,100,43.60
53,2130709,1024,476,100,27.27
54,2130686,1024,476,100,3.82
55,2130648,1024,476,100,11.94
56,2131013,1024,476,100,29.75
57,2130825,1024,476,100,1.87
58,2130136,1024,476,100,25.27
59,2131130,1024,476,100,18.08
60,2130772,1024,476,100,34.29
61,2130367,1024,476,100,17.88
62,2130080,1024,476,100,7.17
63,2130033,1024,476,100,14.25
64,2130791,1024,476,100,61.68
65,2130002,1024,476,100,11.92
66,2130000,1024,476,100,33.46
67,2130426,1024,476,100,4.81
68,2131390,1024,476,100,60.69
69,2130283,1024,476,100,73.02
70,2131111,1024,476,100,17.00
71,2130515,1024,476,100,4.65
72,2129586,1024,476,100,34.13
73,2130572,1024,476,100,18.48
74,2130967,1024,476,100,5.29
75,2129206,1024,476,100,16.50
76,2130642,1024,476,100,12.01
77,2130233,1024,476,100,4.85
78,2129467,1024,476,100,12.40
79,2130663,1024,476,100,41.09
80,2130032,1024,476,100,16.45
81,2130198,1024,476,100,3.41
82,2130852,1024,476,100,28.34
83,2135598,1024,476,100,37.82
84,2130555,1024,476,100,36.26
85,2129464,1024,476,100,6.78
86,2130933,1024,476,100,54.39
87,2130987,1024,476,100,39.68
88,2131190,1024,476,100,3.47
89,2131999,1024,476,100,5.34
90,2131047,1024,476,100,19.83
91,2129995,1024,476,100,11.58
92,2130554,1024,476,100,35.63
93,2130140,1024,476,100,87.28
94,2130480,1024,476,100,25.18
95,2130485,1024,476,100,7.78
96,2130802,1024,476,100,17.62
97,2130312,1024,476,100,22.10
98,2130009,1024,476,100,39.72
99,2130788,1024,476,100,32.25
100,2130757,1024,476,100,41.29
101,2130626,1024,476,100,17.88
102,2130575,1024,476,100,18.14
103,2130812,1024,476,100,61.86
104,2129639,1024,476,100,29.70
105,2130017,1024,476,100,7.54
106,2131120,1024,476,100,37.40
107,2130813,1024,476,100,5.59
108,2131237,1024,476,100,8.18
109,2129832,1024,476,100,50.23
110,2131056,1024,476,100,19.13
111,2129751,1024,476,100,78.85
112,2130516,1024,476,100,18.77
113,2130667,1024,476,100,3.29
114,2130543,1024,476,100,29.72
115,2130714,1024,476,100,17.42
116,2130672,1024,476,100,20.18
117,2130584,1024,476,100,7.53
