Index,Exec_time,stride,inner_cycle
193,12489396,1024,512
194,11920643,1024,512
195,11963592,1024,512
196,11922052,1024,512
197,12265559,1024,512
198,11911995,1024,512
199,12486520,1024,512
200,11922705,1024,512
201,11963924,1024,512
202,11970165,1024,512
203,11911747,1024,512
204,11911184,1024,512
205,11922232,1024,512
206,11930022,1024,512
207,11922321,1024,512
208,11923174,1024,512
209,11932992,1024,512
210,11934601,1024,512
211,11988186,1024,512
212,11923186,1024,512
213,11931362,1024,512
214,11923366,1024,512
215,12103586,1024,512
216,11922748,1024,512
217,11934254,1024,512
218,11934198,1024,512
219,11934035,1024,512
220,11988171,1024,512
221,11922733,1024,512
222,11934353,1024,512
223,11933326,1024,512
224,12403403,1024,512
225,11933271,1024,512
226,11923231,1024,512
227,11966010,1024,512
228,11934943,1024,512
229,11935033,1024,512
230,11923421,1024,512
231,11923543,1024,512
232,11923727,1024,512
233,12532733,1024,512
234,11923176,1024,512
235,12989645,1024,512
236,11922886,1024,512
237,11933595,1024,512
238,12231018,1024,512
239,11923170,1024,512
240,11934868,1024,512
241,11923654,1024,512
242,11923625,1024,512
243,11988336,1024,512
244,11934529,1024,512
245,11923361,1024,512
246,11922537,1024,512
247,12513304,1024,512
248,11922924,1024,512
249,11925040,1024,512
250,11933413,1024,512
251,12513832,1024,512
252,12189472,1024,512
253,11922772,1024,512
254,11923584,1024,512
255,11933211,1024,512
256,11987057,1024,512
257,11923115,1024,512
258,11932155,1024,512
259,12302021,1024,512
260,11923063,1024,512
261,12252384,1024,512
262,11923055,1024,512
263,11921649,1024,512
264,11922320,1024,512
265,12248644,1024,512
266,11934358,1024,512
267,11933239,1024,512
268,11926946,1024,512
269,11921570,1024,512
270,12193220,1024,512
271,11922181,1024,512
272,11922818,1024,512
273,11922162,1024,512
274,12196130,1024,512
275,11922605,1024,512
276,11923253,1024,512
277,11930819,1024,512
278,11984304,1024,512
279,12977673,1024,512
280,11980829,1024,512
281,11923053,1024,512
282,11929093,1024,512
283,11987470,1024,512
284,11935795,1024,512
285,11923352,1024,512
286,11922345,1024,512
287,11922115,1024,512
288,12433628,1024,512
289,11932948,1024,512
290,11933018,1024,512
291,11922935,1024,512
292,11922418,1024,512
293,11987329,1024,512
294,11934692,1024,512
295,11922576,1024,512
296,11923090,1024,512
297,11936704,1024,512
298,11932803,1024,512
299,11932428,1024,512
300,11922778,1024,512
301,11933227,1024,512
302,12207332,1024,512
303,11931779,1024,512
304,11921995,1024,512
305,11982764,1024,512
306,12217191,1024,512
307,11940780,1024,512
308,11922634,1024,512
309,11923354,1024,512
310,11934572,1024,512
311,12211440,1024,512
312,12238819,1024,512
313,11960407,1024,512
314,11934383,1024,512
315,11934592,1024,512
316,12442508,1024,512
317,11932788,1024,512
318,11934071,1024,512
319,11923184,1024,512
320,12505610,1024,512
321,11924730,1024,512
322,12225642,1024,512
323,11933646,1024,512
324,11987881,1024,512
325,11932374,1024,512
326,11934189,1024,512
327,11934651,1024,512
328,11923397,1024,512
329,12189704,1024,512
330,11923227,1024,512
331,11922733,1024,512
332,11886537,1024,512
333,11911398,1024,512
334,12783365,1024,512
335,11902298,1024,512
336,11902860,1024,512
337,11902737,1024,512
338,11902624,1024,512
339,11965224,1024,512
340,11903154,1024,512
341,11903324,1024,512
342,11903240,1024,512
343,12172180,1024,512
344,12339484,1024,512
345,11902970,1024,512
346,11903146,1024,512
347,11903024,1024,512
348,11909364,1024,512
349,11913380,1024,512
350,11903004,1024,512
351,11956649,1024,512
352,12630641,1024,512
353,11912960,1024,512
354,11912489,1024,512
355,11902404,1024,512
356,11965438,1024,512
357,11907692,1024,512
358,11902365,1024,512
359,11902778,1024,512
360,11928891,1024,512
361,11965738,1024,512
362,11912751,1024,512
363,12383777,1024,512
364,11913188,1024,512
365,12239627,1024,512
366,11902478,1024,512
367,11901866,1024,512
368,11902386,1024,512
369,11923083,1024,512
370,11986069,1024,512
371,11922120,1024,512
372,11930769,1024,512
373,11922212,1024,512
374,12093086,1024,512
375,11922847,1024,512
376,11934939,1024,512
377,12887100,1024,512
378,11934367,1024,512
379,12286529,1024,512
380,11923799,1024,512
381,11933328,1024,512
382,11932495,1024,512
383,11932329,1024,512
384,11932285,1024,512
385,11935034,1024,512
386,11922884,1024,512
387,11922860,1024,512
388,11987797,1024,512
389,11922598,1024,512
390,11922997,1024,512
391,11927496,1024,512
392,11922883,1024,512
393,12292789,1024,512
394,11931754,1024,512
395,11932711,1024,512
396,11922701,1024,512
397,12241140,1024,512
398,11933151,1024,512
399,11934198,1024,512
400,11923349,1024,512
401,11934359,1024,512
402,12518051,1024,512
403,11931371,1024,512
404,11922538,1024,512
405,11933443,1024,512
406,12205646,1024,512
407,11936151,1024,512
408,11922979,1024,512
409,11960237,1024,512
410,11922635,1024,512
411,12202931,1024,512
412,11934501,1024,512
413,11934274,1024,512
414,11934204,1024,512
415,11934657,1024,512
416,11933149,1024,512
417,11934487,1024,512
418,11987254,1024,512
419,11922880,1024,512
420,12248660,1024,512
421,11942578,1024,512
422,11922893,1024,512
423,11922978,1024,512
424,11935085,1024,512
425,11922452,1024,512
426,11922683,1024,512
427,11922727,1024,512
428,11922959,1024,512
429,12977694,1024,512
430,11924404,1024,512
431,11922894,1024,512
432,11923398,1024,512
433,12221609,1024,512
434,11934173,1024,512
435,11934716,1024,512
436,11933632,1024,512
437,11923181,1024,512
438,12256964,1024,512
439,11933208,1024,512
440,11934369,1024,512
441,12266276,1024,512
442,11934648,1024,512
443,11988545,1024,512
444,11933087,1024,512
445,11924147,1024,512
446,11932564,1024,512
447,11988461,1024,512
448,11923128,1024,512
449,11933419,1024,512
450,12098517,1024,512
451,11934146,1024,512
452,11988298,1024,512
453,11923402,1024,512
454,11922871,1024,512
455,11933370,1024,512
456,12709997,1024,512
457,11967564,1024,512
458,11933643,1024,512
459,11966145,1024,512
460,12696817,1024,512
461,13737623,1024,512
462,11933602,1024,512
463,11986786,1024,512
464,11933968,1024,512
465,11936472,1024,512
466,11934041,1024,512
467,11934550,1024,512
468,11923336,1024,512
469,11968763,1024,512
470,11961089,1024,512
471,12230020,1024,512
472,11931642,1024,512
473,11986182,1024,512
474,11933432,1024,512
475,11985922,1024,512
476,11933663,1024,512
477,11933730,1024,512
478,11933057,1024,512
479,11929455,1024,512
480,12912529,1024,512
481,11923272,1024,512
482,11923126,1024,512
483,12280673,1024,512
484,11923082,1024,512
485,11934555,1024,512
486,11922733,1024,512
487,11922547,1024,512
488,11923275,1024,512
489,11923316,1024,512
490,11923419,1024,512
491,11923502,1024,512
492,11934424,1024,512
493,12193827,1024,512
494,11934570,1024,512
495,11932609,1024,512
496,11923348,1024,512
497,12254467,1024,512
498,11932539,1024,512
499,11924113,1024,512
500,12482250,1024,512
501,11934254,1024,512
502,11928034,1024,512
503,11934133,1024,512
504,11934151,1024,512
505,11933789,1024,512
506,12546931,1024,512
507,11933327,1024,512
508,11922604,1024,512
509,11963631,1024,512
510,11933661,1024,512
511,12603068,1024,512
512,11921845,1024,512
513,11978270,1024,512
514,11933730,1024,512
515,12198512,1024,512
516,11934118,1024,512
517,11923717,1024,512
518,11934300,1024,512
519,11933088,1024,512
520,11934202,1024,512
521,11930364,1024,512
522,11923461,1024,512
523,11923103,1024,512
524,11986721,1024,512
525,11923346,1024,512
526,11933104,1024,512
527,11933581,1024,512
528,11933743,1024,512
529,11935525,1024,512
530,11923567,1024,512
531,11986317,1024,512
532,11922720,1024,512
533,11986836,1024,512
534,11923208,1024,512
535,11923539,1024,512
536,11923913,1024,512
537,11934799,1024,512
538,12468411,1024,512
539,11922749,1024,512
540,11934270,1024,512
541,11932640,1024,512
542,11989947,1024,512
543,12195613,1024,512
544,11933390,1024,512
545,11932472,1024,512
546,11923111,1024,512
547,13007939,1024,512
548,11923170,1024,512
549,11979514,1024,512
550,11923487,1024,512
551,11933117,1024,512
552,12475203,1024,512
553,11922830,1024,512
554,11924165,1024,512
555,11971660,1024,512
556,11984270,1024,512
557,11923222,1024,512
558,11932715,1024,512
559,11925119,1024,512
560,11938074,1024,512
561,12318946,1024,512
562,11922874,1024,512
563,11933957,1024,512
564,11923594,1024,512
565,11923651,1024,512
566,11923895,1024,512
567,11923833,1024,512
568,11923340,1024,512
569,12258479,1024,512
570,11987147,1024,512
571,11964756,1024,512
572,11923407,1024,512
573,11957259,1024,512
574,11982131,1024,512
575,11923359,1024,512
576,11924414,1024,512
577,11986556,1024,512
578,11922989,1024,512
579,11986644,1024,512
580,12140887,1024,512
581,12221435,1024,512
582,11944846,1024,512
583,11933542,1024,512
584,11934025,1024,512
585,11934137,1024,512
586,11922915,1024,512
587,11967433,1024,512
588,11986411,1024,512
589,11929167,1024,512
590,11923657,1024,512
591,11923461,1024,512
592,11924205,1024,512
593,11987534,1024,512
594,11987670,1024,512
595,11923152,1024,512
596,11934036,1024,512
597,11933163,1024,512
598,11931095,1024,512
599,11986952,1024,512
600,11932376,1024,512
601,11934538,1024,512
602,11932961,1024,512
603,11975163,1024,512
604,11934762,1024,512
605,11925112,1024,512
606,11934408,1024,512
607,11984298,1024,512
608,11975638,1024,512
609,11933831,1024,512
610,11933874,1024,512
611,11987173,1024,512
612,11923600,1024,512
613,11934382,1024,512
614,11922976,1024,512
615,12007714,1024,512
616,11923390,1024,512
617,11921863,1024,512
618,11934150,1024,512
619,11941380,1024,512
620,12187338,1024,512
621,11922873,1024,512
622,11933814,1024,512
623,11923197,1024,512
624,11922858,1024,512
625,11924330,1024,512
626,11936008,1024,512
627,11948307,1024,512
628,11922570,1024,512
629,11923207,1024,512
630,12652817,1024,512
631,11922981,1024,512
632,11967187,1024,512
633,11922745,1024,512
634,11934170,1024,512
635,11932194,1024,512
636,11943692,1024,512
637,11922644,1024,512
638,11923473,1024,512
639,11922447,1024,512
640,12098852,1024,512
641,11930710,1024,512
642,11930469,1024,512
643,11923510,1024,512
644,11921676,1024,512
645,11923970,1024,512
646,11980940,1024,512
647,12628035,1024,512
648,11934021,1024,512
649,11934417,1024,512
650,11933472,1024,512
651,11932367,1024,512
652,11985782,1024,512
653,11922345,1024,512
654,11933388,1024,512
655,11933668,1024,512
656,12534504,1024,512
657,11986253,1024,512
658,11934031,1024,512
659,11922994,1024,512
660,11923364,1024,512
661,12294837,1024,512
662,11922481,1024,512
663,11933111,1024,512
664,11922532,1024,512
665,12561969,1024,512
666,11922363,1024,512
667,11923148,1024,512
668,11923162,1024,512
669,11922974,1024,512
670,11922578,1024,512
671,11986569,1024,512
672,11933726,1024,512
673,11922771,1024,512
674,12197790,1024,512
675,11923172,1024,512
676,11933179,1024,512
677,11933576,1024,512
678,11922975,1024,512
679,12870860,1024,512
680,11922327,1024,512
681,11985731,1024,512
682,11922622,1024,512
683,12621739,1024,512
684,11922352,1024,512
685,11932506,1024,512
686,12122848,1024,512
687,11986184,1024,512
688,11922524,1024,512
689,11933646,1024,512
690,11922647,1024,512
691,11974598,1024,512
692,11933364,1024,512
693,12567791,1024,512
694,11922551,1024,512
695,11986568,1024,512
696,11922541,1024,512
697,11986078,1024,512
698,11922392,1024,512
699,11923083,1024,512
700,11966921,1024,512
701,11934601,1024,512
702,12947459,1024,512
703,11922921,1024,512
704,11933044,1024,512
705,11922275,1024,512
706,12840704,1024,512
707,11922021,1024,512
708,11925138,1024,512
709,11986555,1024,512
710,11922270,1024,512
711,11986922,1024,512
712,11922024,1024,512
713,11922762,1024,512
714,11933722,1024,512
715,11924664,1024,512
716,11933604,1024,512
717,11922372,1024,512
718,11932979,1024,512
719,11923504,1024,512
720,12028007,1024,512
721,12831302,1024,512
722,11933202,1024,512
723,11932142,1024,512
724,11932664,1024,512
725,11986340,1024,512
726,11931366,1024,512
727,11932334,1024,512
728,11933645,1024,512
729,11986607,1024,512
730,11922359,1024,512
731,11950362,1024,512
732,11922596,1024,512
733,11924269,1024,512
734,11933410,1024,512
735,11923216,1024,512
736,11933387,1024,512
737,11933755,1024,512
738,11922851,1024,512
739,11985925,1024,512
740,11922575,1024,512
741,11932692,1024,512
742,11932603,1024,512
743,11934080,1024,512
744,11922572,1024,512
745,11931451,1024,512
746,11933978,1024,512
747,11986489,1024,512
748,11979708,1024,512
749,11922773,1024,512
750,11972278,1024,512
751,11933799,1024,512
752,11964673,1024,512
753,11990794,1024,512
754,11933106,1024,512
755,11923757,1024,512
756,12020451,1024,512
757,11923203,1024,512
758,11923173,1024,512
759,11922910,1024,512
760,11923277,1024,512
761,12190450,1024,512
762,11933305,1024,512
763,11934230,1024,512
764,11951352,1024,512
765,12312443,1024,512
766,12096840,1024,512
767,11933647,1024,512
768,11923421,1024,512
769,11986948,1024,512
770,11933664,1024,512
771,11922624,1024,512
772,11933670,1024,512
773,11934168,1024,512
774,12524372,1024,512
775,11923895,1024,512
776,11992718,1024,512
777,12321849,1024,512
778,11922714,1024,512
779,11987067,1024,512
780,11923625,1024,512
781,11923167,1024,512
782,11932458,1024,512
783,11934212,1024,512
784,11933987,1024,512
785,11923294,1024,512
786,11939799,1024,512
787,11934462,1024,512
788,12257907,1024,512
789,11923325,1024,512
790,11970598,1024,512
791,12019720,1024,512
792,11961965,1024,512
793,12408068,1024,512
794,11934673,1024,512
795,11923730,1024,512
796,11923543,1024,512
797,12310234,1024,512
798,11932836,1024,512
799,11933094,1024,512
800,11935227,1024,512
801,11934576,1024,512
802,11987074,1024,512
803,11934517,1024,512
804,11933107,1024,512
805,11931758,1024,512
806,12614010,1024,512
807,11922738,1024,512
808,11982987,1024,512
809,11923338,1024,512
810,12291330,1024,512
811,12849481,1024,512
812,11889266,1024,512
813,11898823,1024,512
814,11898205,1024,512
815,12172751,1024,512
816,11889791,1024,512
817,11896036,1024,512
818,11897600,1024,512
819,11962903,1024,512
820,11943646,1024,512
821,11888789,1024,512
822,11888905,1024,512
823,11888975,1024,512
824,12348715,1024,512
825,11888944,1024,512
826,11897433,1024,512
827,11897049,1024,512
828,11893275,1024,512
829,12157448,1024,512
830,11943198,1024,512
831,11886936,1024,512
832,11931796,1024,512
833,12676347,1024,512
834,11886720,1024,512
835,11888269,1024,512
836,11896895,1024,512
837,11895934,1024,512
838,11944038,1024,512
839,11917530,1024,512
840,11956848,1024,512
841,11909475,1024,512
842,11920008,1024,512
843,12192602,1024,512
844,11919400,1024,512
845,11920157,1024,512
846,11963522,1024,512
847,12230980,1024,512
848,11910442,1024,512
849,11909792,1024,512
850,11950356,1024,512
851,11970662,1024,512
852,11967958,1024,512
853,11919797,1024,512
854,11909341,1024,512
855,11909630,1024,512
856,12276537,1024,512
857,11909735,1024,512
858,11910163,1024,512
859,11919345,1024,512
860,11919126,1024,512
861,11967184,1024,512
862,11920569,1024,512
863,11909484,1024,512
864,11918090,1024,512
865,11909681,1024,512
866,11923132,1024,512
867,11923279,1024,512
868,11923723,1024,512
869,11923546,1024,512
870,11923456,1024,512
871,13063291,1024,512
872,11924001,1024,512
873,11923011,1024,512
874,12248565,1024,512
875,11933907,1024,512
876,11933120,1024,512
877,11933739,1024,512
878,11923114,1024,512
879,13093070,1024,512
880,11978208,1024,512
881,11923026,1024,512
882,11923397,1024,512
883,11923271,1024,512
884,11934531,1024,512
885,11924952,1024,512
886,11963925,1024,512
887,11931655,1024,512
888,11987002,1024,512
889,11926051,1024,512
890,11923055,1024,512
891,11923124,1024,512
892,11925007,1024,512
893,12230605,1024,512
894,11933930,1024,512
895,11934832,1024,512
896,11934170,1024,512
897,11987207,1024,512
898,11958481,1024,512
899,11931536,1024,512
900,11934229,1024,512
901,11923032,1024,512
902,11986731,1024,512
903,11934427,1024,512
904,11923462,1024,512
905,11923845,1024,512
906,11923238,1024,512
907,11932742,1024,512
908,11921984,1024,512
909,11922918,1024,512
910,11923604,1024,512
911,11933201,1024,512
912,11922998,1024,512
913,11922785,1024,512
914,11923043,1024,512
915,11978811,1024,512
916,11931951,1024,512
917,11925648,1024,512
918,11933984,1024,512
919,11932052,1024,512
920,11986529,1024,512
921,11923826,1024,512
922,13015721,1024,512
923,11923172,1024,512
924,11929648,1024,512
925,11923064,1024,512
926,11924456,1024,512
927,11934148,1024,512
928,11935446,1024,512
929,11932061,1024,512
930,11934166,1024,512
931,11923186,1024,512
932,12635095,1024,512
933,13052487,1024,512
934,11923235,1024,512
935,11933636,1024,512
936,11976385,1024,512
937,11923049,1024,512
938,11986281,1024,512
939,11933286,1024,512
940,11922851,1024,512
941,11986050,1024,512
942,11922165,1024,512
943,12026969,1024,512
944,11923119,1024,512
945,11932477,1024,512
946,11934582,1024,512
947,11986949,1024,512
948,11923401,1024,512
949,11923444,1024,512
950,11923248,1024,512
951,11923152,1024,512
952,11986457,1024,512
953,11934319,1024,512
954,11933446,1024,512
955,11933889,1024,512
956,11936069,1024,512
957,11935618,1024,512
958,11934371,1024,512
959,11923022,1024,512
960,11922835,1024,512
961,11956608,1024,512
962,12701723,1024,512
963,11931995,1024,512
964,11922486,1024,512
965,11986533,1024,512
966,11922141,1024,512
967,11933090,1024,512
968,11962229,1024,512
969,11931564,1024,512
970,11986582,1024,512
971,11933787,1024,512
972,11933751,1024,512
973,11923184,1024,512
974,11986817,1024,512
975,11922522,1024,512
976,11929627,1024,512
977,11923080,1024,512
978,11932836,1024,512
979,11933659,1024,512
980,11932546,1024,512
981,11922283,1024,512
982,12102420,1024,512
983,12265256,1024,512
984,11932105,1024,512
985,11932501,1024,512
986,11932799,1024,512
987,11932076,1024,512
988,12262453,1024,512
989,11922860,1024,512
990,11921481,1024,512
991,11923429,1024,512
992,11931165,1024,512
993,12476068,1024,512
994,11921890,1024,512
995,11930866,1024,512
996,11932615,1024,512
997,11985747,1024,512
998,11933531,1024,512
999,11930798,1024,512
1000,11975960,1024,512
1001,11924340,1024,512
1002,12255639,1024,512
1003,11922957,1024,512
1004,11933653,1024,512
1005,11924005,1024,512
1006,12273361,1024,512
1007,11971200,1024,512
1008,11922753,1024,512
1009,11923379,1024,512
1010,11928585,1024,512
1011,11923427,1024,512
1012,12525718,1024,512
1013,11933866,1024,512
1014,11923418,1024,512
1015,12283397,1024,512
1016,11934428,1024,512
1017,11922917,1024,512
1018,11923877,1024,512
1019,12641817,1024,512
1020,11923216,1024,512
1021,11933641,1024,512
1022,11925671,1024,512
1023,11985851,1024,512
1024,11933068,1024,512
