ID,Exec_time,Random_num
1,330.812897,416715757
2,352.147339,272732683
3,352.530151,224351078
4,352.639130,137033743
5,352.135681,318087700
6,352.603027,566743275
7,352.629181,540832086
8,352.128418,39589451
9,352.577576,58031541
10,353.785461,590885832
11,352.073914,52605149
12,352.054626,673211011
13,352.906708,108751614
14,352.047211,761204726
15,352.014618,236380472
16,352.565796,799259765
17,346.175873,219171564
18,346.163910,233407049
19,345.479095,229124006
20,345.416382,297223856
21,346.022034,716558231
22,345.468414,702953254
23,345.958588,293595652
24,346.015717,308771295
25,345.456177,36965047
26,345.993195,391837065
27,345.990417,372712143
28,345.473907,514837668
29,345.983826,787604786
30,345.962036,454443500
31,345.540649,528138038
32,345.980957,133098481
33,345.411011,605820848
34,345.733917,498549563
35,346.016510,186142100
36,346.149506,719466699
37,345.607239,335606708
38,346.112274,645360015
39,346.084229,169678001
40,346.137665,24691759
41,345.520172,533568880
42,345.569366,430574733
43,346.081909,643626788
44,346.089996,582569106
45,345.039093,204947064
46,346.103821,80437414
47,346.075562,418964428
48,345.557220,326580548
49,346.075104,37555891
50,346.133209,652083055
51,345.583618,804199081
52,346.099976,236016098
53,346.105011,23616243
54,344.139313,523824128
55,346.121002,5911525
56,346.235138,558304188
57,345.688202,279306023
58,345.532837,34766072
59,346.075287,572941614
60,345.054565,271169776
61,346.067474,117003461
62,346.071625,634477411
63,345.556519,603832227
64,346.151489,445871860
65,345.606049,736071567
66,346.050262,29539302
67,346.073730,535906684
68,345.544525,296213150
69,346.135986,374167732
70,346.052155,642922799
71,344.977905,463814808
72,346.058258,674728540
73,346.088135,211371049
74,345.585480,5238725
75,346.095215,608111502
76,346.107422,371337350
77,345.610840,236822559
78,346.111359,304351422
79,346.111328,803101922
80,345.631714,429510435
81,346.108551,264631790
82,346.092834,329491574
83,345.604553,77336893
84,346.081573,398008863
85,346.090424,489508985
86,346.204865,794075821
87,346.093842,669326291
88,345.632477,94525169
89,345.510315,703229032
90,346.085876,56548773
91,345.564301,572559764
92,346.097443,640928595
93,346.116821,255283890
94,345.586487,441787509
95,346.107147,186783178
96,346.083649,562123055
97,345.646027,309909558
98,346.115356,324222097
99,346.102356,545623707
100,345.063019,492756808
101,346.106232,47364233
102,346.120941,140964578
103,345.634186,786528229
104,346.098999,767478509
105,346.100555,233934379
106,345.562744,86459429
107,346.154877,167252693
108,346.218628,230999126
109,345.600983,290407928
110,345.549042,662494472
111,345.594086,479734865
112,345.492279,448625808
113,346.058411,365027246
114,345.534180,457238756
115,346.047211,154258989
116,346.061829,397221437
117,345.559662,32385582
118,346.043945,83854738
119,346.073395,272007924
120,345.656342,642482886
121,346.013580,270720068
122,346.034973,383240106
123,345.533783,495249956
124,346.006348,546567588
125,345.972595,566262641
126,345.589203,431692898
127,346.095581,175766332
128,346.000549,202483971
129,344.931000,678445000
130,346.054718,493758705
131,346.006836,314733019
132,346.095703,86014898
133,346.036682,160936309
