ID,Exec_time,Random_num
1,330.849365,677453073
2,352.802643,230411129
3,352.499481,76367484
4,352.160248,279765838
5,352.527283,406396215
6,352.567688,486742221
7,352.188995,76772508
8,352.535461,59762839
9,352.578339,235336607
10,353.224701,595311276
11,352.602325,361785353
12,352.565857,282325657
13,353.210205,595721642
14,352.570099,727151183
15,352.612274,198659159
16,352.086243,622896870
17,352.543762,571999379
18,352.096466,139299097
19,351.967712,773802232
20,352.626190,761956185
21,352.319641,101459333
22,352.691284,1754780
23,352.701019,608692475
24,353.611816,50620770
25,352.133850,194258568
26,351.205719,490336512
27,352.221527,145574121
28,352.653961,777077174
29,352.747711,776897739
30,352.230042,406923076
31,352.682007,456168876
32,352.780426,361671410
33,352.665588,36247898
34,352.703339,725823911
35,353.325348,51686789
36,352.623016,595708190
37,352.676453,232981497
38,353.317352,320504814
39,352.640045,183988863
40,352.674225,186624540
41,352.376709,749775329
42,352.135101,245802936
43,352.674927,183043438
44,352.210785,96251135
45,352.685516,55081210
46,352.769135,288507303
47,352.249603,639071197
48,352.695160,459264655
49,353.306793,633940969
50,352.636505,650955727
51,352.672241,276464902
52,353.405548,311263237
53,352.630737,285687910
54,352.697510,342371690
55,352.300690,670609796
56,352.647522,276729523
57,352.698181,127926897
58,352.332184,218145802
59,352.683929,157964154
60,352.758911,349687149
61,352.147491,498805559
62,352.096649,552725480
63,353.754517,636563526
64,352.738037,323894177
65,352.680267,13742761
66,353.551880,607464475
67,352.641693,678191031
68,352.677032,602148803
69,352.839508,547543169
70,352.662659,392886442
71,352.736145,492982297
72,352.301208,565544965
73,352.698395,456384603
74,352.775146,554447220
75,352.307495,29247242
76,352.702789,560951573
77,352.760620,324817045
78,352.205414,616294644
79,352.684143,597783770
80,353.517151,550050079
81,352.699768,25158735
82,352.668610,712271986
83,353.029816,271249227
84,352.674957,136861162
85,352.679474,636426287
86,352.322571,29257305
87,352.672882,215409295
88,352.730743,516071137
89,351.206299,630261006
90,352.698242,593056610
91,352.168213,185719280
92,350.824280,573447136
93,352.707123,509738313
94,353.635040,309329238
95,352.675079,555916173
96,352.686981,134790572
97,352.202698,339555132
98,352.640411,334211118
99,352.730377,547658859
100,352.236420,721240745
101,352.655426,420586849
102,353.054596,361885124
103,352.362091,487220793
104,352.667023,499612551
105,353.098022,670639879
106,352.261597,543278199
107,352.659729,697114494
108,354.159515,94998282
109,352.245697,372810860
110,352.713470,401476779
111,352.652710,179282901
112,352.612915,299046898
113,352.671448,753479905
114,352.190552,751536221
115,352.685608,342526989
116,352.748993,115919139
117,352.238007,793655114
118,351.245483,190847616
119,353.786743,587554890
120,352.340363,97566494
121,352.099731,713218256
122,353.550690,269927964
123,352.192566,359115268
124,352.674469,175297257
125,352.133820,529610000
126,352.716217,493317701
127,352.707397,568842917
128,352.150208,42190660
129,352.658844,666312503
130,352.694794,651437021
131,352.181519,54497262
132,352.696045,650780661
133,353.983185,454654332
134,352.246857,753607301
135,352.683289,603451093
136,353.724792,273072170
137,352.295349,140304206
138,352.193329,568141928
139,352.695679,105095003
140,352.132660,761842907
141,352.242828,485075353
142,352.152893,347599105
143,352.672363,716786077
144,346.345062,150301093
145,345.534637,382415523
146,346.027222,486092729
147,346.065094,105730806
148,345.546387,5937409
149,345.515045,353470136
150,346.086670,456068707
151,345.566681,669140946
152,346.058350,504555131
153,346.080597,407701699
154,345.675385,531815525
155,346.043182,497320383
156,346.039581,32140227
157,345.558563,492762732
158,351.067413,143302273
159,352.758606,151764281
160,352.320923,172813554
161,352.798004,150624469
162,352.351013,177114707
163,352.655914,206848571
164,352.704407,128358389
165,352.686676,522695672
166,352.687134,187939227
167,352.806366,448054515
168,352.032684,302907905
169,352.159515,744852734
170,352.748932,759559954
171,352.261230,81004367
172,352.740967,524110618
173,352.736420,685694073
174,352.172333,729328607
175,352.891693,741795859
176,353.614349,560902538
177,351.697479,88074616
178,352.332184,286848161
179,352.772003,623571212
180,352.238495,163655364
181,352.352203,152550156
182,351.854187,74881112
183,352.076935,677831240
184,354.555695,344432585
185,353.178741,479576974
186,352.288269,581875989
187,352.292603,303863839
188,351.915680,509845672
189,352.186249,607563635
190,354.697693,211116926
191,352.459717,470752435
192,352.217560,88608664
193,352.991058,256613117
194,351.223541,551534144
195,352.808655,321509860
196,352.260406,201831651
197,352.686920,582262015
198,352.884308,725580437
199,352.202271,196982181
200,352.225861,68255632
201,352.755402,779432068
202,352.598663,342110808
203,352.612183,68417533
204,353.551605,468641628
205,355.058899,391810478
206,353.761719,532000298
207,353.272766,455576307
208,353.843689,196046363
209,353.377411,344237546
210,352.325714,650751573
211,354.253418,555056019
212,352.968140,375433481
213,352.401001,708477261
214,353.918427,318004715
215,352.627167,43128610
216,351.337830,121266432
217,354.060547,710980371
218,353.689331,757372510
219,352.718689,58587331
220,352.812866,488862713
221,352.739227,43762117
222,352.179291,727309659
223,352.180084,521741496
224,352.132202,663919996
225,352.929657,357942195
226,352.965881,202214156
227,352.540741,260317346
228,353.161163,209116108
229,353.212006,540238771
230,352.557373,544274961
231,353.980743,243175774
232,352.647675,527537308
233,352.200714,403877574
234,354.530945,365430898
235,353.114258,389300156
236,352.648376,316448797
237,354.572174,497022171
238,353.270905,488254143
239,353.076813,503990886
240,354.095764,801540802
241,352.120239,350531623
242,352.660492,446534523
243,353.654633,226950863
244,352.616791,362266002
245,353.326935,630853846
246,352.227142,573140080
247,352.236694,465052356
248,352.714752,553707990
249,352.994873,126910930
250,352.398407,524571610
251,352.829132,300502047
252,352.753723,550910714
253,352.247131,522235405
254,353.035950,537746811
255,352.161255,527738526
256,352.749512,367948047
257,354.102020,733458465
258,351.904968,800537704
259,352.674194,748353936
260,354.629547,255680051
261,352.383606,168326175
262,352.852081,420980726
263,353.470276,411992306
264,352.441467,482392262
265,352.896942,666753787
266,353.436401,240957854
267,351.489899,57064218
268,352.510071,113447784
269,353.016083,628478327
270,352.635345,76333464
271,353.223602,98485940
272,353.205627,579134250
273,352.923859,384197443
274,353.490906,42417137
275,352.553467,538179621
276,352.854309,157816372
277,353.003174,584001342
278,350.845306,331145312
279,352.841187,547650871
280,353.601379,216249807
281,352.376068,327078970
282,352.346222,40952155
283,353.101807,704402855
284,354.801361,697541945
285,352.700623,66228262
286,353.509430,156318978
287,352.697571,773205457
288,352.552460,285935087
289,352.320740,187753055
290,352.844574,99844631
291,352.525879,27398593
292,352.075623,713885560
293,352.850037,301758282
294,353.019135,603931454
295,352.309845,710944171
296,352.840271,354475333
297,353.563110,225665072
298,352.460693,738565851
299,351.107971,459940576
300,353.673431,536485465
301,351.416504,444087712
302,352.491791,59177546
303,352.513245,351561194
304,352.349701,557014344
305,352.567230,722055560
306,351.529480,65123237
307,353.040192,415514503
308,353.182495,683727434
309,352.592529,718402406
310,352.835419,359105351
311,353.622040,598334608
312,352.773804,295783537
313,355.431549,430421369
314,353.493622,254465092
315,352.691711,361883851
316,352.930237,217902166
317,353.661285,569493711
318,352.859375,714616735
319,352.983002,406989217
320,353.585876,288327629
321,352.437653,240253101
322,360.735565,692219758
323,359.716248,92655869
324,360.213318,302880085
325,359.472870,630396708
326,352.118134,631445784
327,352.887573,666666819
328,353.855103,418946220
329,352.513916,711028769
330,352.875885,112197526
331,353.673462,266551108
332,352.830414,51502899
333,352.413910,512524229
334,353.138214,656384022
335,352.832642,636436953
336,352.928040,705798661
337,352.329590,543982606
338,352.780273,87247354
339,352.556396,139790989
