ID,Exec_time
1,333.188568
2,355.873077
3,355.385223
4,355.423798
5,356.295135
6,355.199768
7,355.390076
8,355.960114
9,353.685669
10,356.155914
11,355.273224
12,354.869202
13,355.766205
14,355.432312
15,355.252441
16,354.081207
17,348.222443
18,348.875488
19,348.611176
20,348.306793
21,349.380646
22,348.792206
23,348.794373
24,349.393555
25,347.779999
26,348.398315
27,349.200958
28,348.808167
29,348.648163
30,349.479828
31,349.282623
32,348.243866
33,348.592102
34,349.491974
35,349.517334
36,348.890717
37,348.141602
38,349.243134
39,349.107483
40,348.878662
41,348.766815
42,349.214935
43,348.726868
44,349.472260
45,348.760101
46,347.042023
47,348.989655
48,349.216034
49,348.293671
50,347.971039
51,349.269928
52,349.810150
53,348.856628
54,349.451416
55,348.241669
56,349.137848
57,348.410797
58,349.728851
59,348.694366
60,348.124573
61,349.048889
62,349.287689
63,348.352020
64,348.488678
65,348.780792
66,348.999786
67,349.271149
68,348.992279
69,348.562378
70,349.368073
71,348.872131
72,348.805420
73,348.699402
74,348.920532
75,348.797638
76,349.365448
77,346.584106
78,349.375671
79,347.848328
80,348.700073
81,348.834595
82,348.858398
83,348.982666
84,349.448303
85,348.887238
86,348.286499
87,349.502441
88,349.518951
89,348.936707
90,348.943817
91,349.174652
92,349.360168
93,349.364868
94,348.334229
95,349.776886
96,348.890289
97,348.812744
98,348.610321
99,348.691284
100,348.248260
101,349.417877
102,348.765015
103,348.320648
104,348.754272
105,347.665771
106,348.304138
107,349.222931
108,348.812622
109,348.202209
110,349.285492
111,348.910706
112,349.018372
113,349.298859
114,348.673370
115,349.504059
116,348.259766
117,348.276764
118,348.781189
119,349.418732
120,348.317932
121,349.244446
122,347.335724
123,348.939941
124,349.542633
125,349.133759
126,348.797211
127,349.355377
128,349.233093
129,348.896301
130,349.289948
131,348.256348
132,349.372040
133,348.781982
134,348.553711
135,348.925476
136,349.376892
137,348.434204
138,349.716644
139,348.879272
140,348.843292
141,348.919678
142,347.971313
143,348.019653
144,348.725433
145,348.925293
146,348.883423
147,348.892181
148,349.097778
149,348.719208
150,349.545624
151,348.423004
152,348.412994
153,349.142548
154,349.013092
155,347.374268
156,349.479645
157,348.208893
158,349.392548
159,349.467987
160,349.293152
161,348.646851
162,349.358002
163,349.152863
164,349.584595
165,348.897949
166,348.773132
167,349.616058
168,348.498749
169,349.471191
170,348.078949
171,348.763275
172,349.549469
173,349.371704
174,348.331055
175,349.277832
176,349.211365
177,348.870178
178,348.403259
179,348.927673
180,349.047516
181,349.688751
182,348.796814
183,348.361481
184,348.966583
185,349.025574
186,349.638245
187,349.552673
188,348.150085
189,349.293182
190,349.140320
191,347.514893
192,348.796265
193,349.314941
