No.6/13 | 1:   l2_tex_hit_rate      L2 Cache Hit Rate      99.38%      99.38%      99.38%
No.6/13 | 2:   l2_tex_hit_rate      L2 Cache Hit Rate      99.37%      99.37%      99.37%
No.6/13 | 3:   l2_tex_hit_rate      L2 Cache Hit Rate      99.35%      99.35%      99.35%
No.6/13 | 4:   l2_tex_hit_rate      L2 Cache Hit Rate      99.38%      99.38%      99.38%
No.6/13 | 5:   l2_tex_hit_rate      L2 Cache Hit Rate      99.38%      99.38%      99.38%
No.6/13 | 6:   l2_tex_hit_rate      L2 Cache Hit Rate      99.38%      99.38%      99.38%
No.6/13 | 7:   l2_tex_hit_rate      L2 Cache Hit Rate      99.35%      99.35%      99.35%
No.6/13 | 8:   l2_tex_hit_rate      L2 Cache Hit Rate      99.36%      99.36%      99.36%
No.6/13 | 9:   l2_tex_hit_rate      L2 Cache Hit Rate      99.39%      99.39%      99.39%
No.6/13 | 10:   l2_tex_hit_rate      L2 Cache Hit Rate      99.37%      99.37%      99.37%
No.6/13 | 11:   l2_tex_hit_rate      L2 Cache Hit Rate      99.38%      99.38%      99.38%
No.6/13 | 12:   l2_tex_hit_rate      L2 Cache Hit Rate      99.38%      99.38%      99.38%
No.6/13 | 13:   l2_tex_hit_rate      L2 Cache Hit Rate      99.37%      99.37%      99.37%
No.6/13 | 14:   l2_tex_hit_rate      L2 Cache Hit Rate      99.39%      99.39%      99.39%
No.6/13 | 15:   l2_tex_hit_rate      L2 Cache Hit Rate      99.34%      99.34%      99.34%
No.6/13 | 16:   l2_tex_hit_rate      L2 Cache Hit Rate      99.34%      99.34%      99.34%
No.6/13 | 17:   l2_tex_hit_rate      L2 Cache Hit Rate      99.34%      99.34%      99.34%
No.6/13 | 18:   l2_tex_hit_rate      L2 Cache Hit Rate      99.38%      99.38%      99.38%
No.6/13 | 19:   l2_tex_hit_rate      L2 Cache Hit Rate      99.37%      99.37%      99.37%
No.6/13 | 20:   l2_tex_hit_rate      L2 Cache Hit Rate      99.39%      99.39%      99.39%
No.6/13 | 21:   l2_tex_hit_rate      L2 Cache Hit Rate      99.35%      99.35%      99.35%
No.6/13 | 22:   l2_tex_hit_rate      L2 Cache Hit Rate      99.34%      99.34%      99.34%
No.6/13 | 23:   l2_tex_hit_rate      L2 Cache Hit Rate      99.40%      99.40%      99.40%
No.6/13 | 24:   l2_tex_hit_rate      L2 Cache Hit Rate      99.39%      99.39%      99.39%
No.6/13 | 25:   l2_tex_hit_rate      L2 Cache Hit Rate      99.39%      99.39%      99.39%
