No.9/13 | 1:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 2:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 3:   l2_tex_hit_rate      L2 Cache Hit Rate      99.27%      99.27%      99.27%
No.9/13 | 4:   l2_tex_hit_rate      L2 Cache Hit Rate      99.24%      99.24%      99.24%
No.9/13 | 5:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 6:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 7:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 8:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 9:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 10:   l2_tex_hit_rate      L2 Cache Hit Rate      99.24%      99.24%      99.24%
No.9/13 | 11:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 12:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 13:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 14:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 15:   l2_tex_hit_rate      L2 Cache Hit Rate      99.23%      99.23%      99.23%
No.9/13 | 16:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 17:   l2_tex_hit_rate      L2 Cache Hit Rate      99.23%      99.23%      99.23%
No.9/13 | 18:   l2_tex_hit_rate      L2 Cache Hit Rate      99.27%      99.27%      99.27%
No.9/13 | 19:   l2_tex_hit_rate      L2 Cache Hit Rate      99.24%      99.24%      99.24%
No.9/13 | 20:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 21:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 22:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 23:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 24:   l2_tex_hit_rate      L2 Cache Hit Rate      99.17%      99.17%      99.17%
No.9/13 | 25:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.9/13 | 26:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 27:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 28:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 29:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 30:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 31:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 32:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 33:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 34:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 35:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 36:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 37:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 38:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 39:   l2_tex_hit_rate      L2 Cache Hit Rate      99.23%      99.23%      99.23%
No.9/13 | 40:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 41:   l2_tex_hit_rate      L2 Cache Hit Rate      99.14%      99.14%      99.14%
No.9/13 | 42:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.9/13 | 43:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 44:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 45:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 46:   l2_tex_hit_rate      L2 Cache Hit Rate      99.24%      99.24%      99.24%
No.9/13 | 47:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 48:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 49:   l2_tex_hit_rate      L2 Cache Hit Rate      99.24%      99.24%      99.24%
No.9/13 | 50:   l2_tex_hit_rate      L2 Cache Hit Rate      99.01%      99.01%      99.01%
No.9/13 | 51:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 52:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 53:   l2_tex_hit_rate      L2 Cache Hit Rate      99.23%      99.23%      99.23%
No.9/13 | 54:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 55:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 56:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 57:   l2_tex_hit_rate      L2 Cache Hit Rate      99.23%      99.23%      99.23%
No.9/13 | 58:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 59:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.9/13 | 60:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 61:   l2_tex_hit_rate      L2 Cache Hit Rate      99.13%      99.13%      99.13%
No.9/13 | 62:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.9/13 | 63:   l2_tex_hit_rate      L2 Cache Hit Rate      99.23%      99.23%      99.23%
No.9/13 | 64:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 65:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 66:   l2_tex_hit_rate      L2 Cache Hit Rate      99.24%      99.24%      99.24%
No.9/13 | 67:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.9/13 | 68:   l2_tex_hit_rate      L2 Cache Hit Rate      99.00%      99.00%      99.00%
No.9/13 | 69:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 70:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 71:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 72:   l2_tex_hit_rate      L2 Cache Hit Rate      99.27%      99.27%      99.27%
No.9/13 | 73:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 74:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 75:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
No.9/13 | 76:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 77:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 78:   l2_tex_hit_rate      L2 Cache Hit Rate      99.23%      99.23%      99.23%
No.9/13 | 79:   l2_tex_hit_rate      L2 Cache Hit Rate      99.28%      99.28%      99.28%
No.9/13 | 80:   l2_tex_hit_rate      L2 Cache Hit Rate      99.29%      99.29%      99.29%
