No.2/13 | 63:   l2_tex_hit_rate      L2 Cache Hit Rate      99.63%      99.63%      99.63%
No.2/13 | 64:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 65:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 66:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 67:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 68:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 69:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 70:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 71:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 72:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 73:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 74:   l2_tex_hit_rate      L2 Cache Hit Rate      99.30%      99.30%      99.30%
No.2/13 | 75:   l2_tex_hit_rate      L2 Cache Hit Rate      99.62%      99.62%      99.62%
No.2/13 | 76:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 77:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 78:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 79:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 80:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 81:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 82:   l2_tex_hit_rate      L2 Cache Hit Rate      99.63%      99.63%      99.63%
No.2/13 | 83:   l2_tex_hit_rate      L2 Cache Hit Rate      99.15%      99.15%      99.15%
No.2/13 | 84:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 85:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 86:   l2_tex_hit_rate      L2 Cache Hit Rate      99.64%      99.64%      99.64%
No.2/13 | 87:   l2_tex_hit_rate      L2 Cache Hit Rate      99.63%      99.63%      99.63%
No.2/13 | 88:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 89:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 90:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 91:   l2_tex_hit_rate      L2 Cache Hit Rate      99.58%      99.58%      99.58%
No.2/13 | 92:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 93:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 94:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 95:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 96:   l2_tex_hit_rate      L2 Cache Hit Rate      99.33%      99.33%      99.33%
No.2/13 | 97:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 98:   l2_tex_hit_rate      L2 Cache Hit Rate      99.56%      99.56%      99.56%
No.2/13 | 99:   l2_tex_hit_rate      L2 Cache Hit Rate      99.60%      99.60%      99.60%
No.2/13 | 100:   l2_tex_hit_rate      L2 Cache Hit Rate      99.61%      99.61%      99.61%
No.2/13 | 101:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 102:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 103:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 104:   l2_tex_hit_rate      L2 Cache Hit Rate      99.15%      99.15%      99.15%
No.2/13 | 105:   l2_tex_hit_rate      L2 Cache Hit Rate      99.30%      99.30%      99.30%
No.2/13 | 106:   l2_tex_hit_rate      L2 Cache Hit Rate      99.30%      99.30%      99.30%
No.2/13 | 107:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 108:   l2_tex_hit_rate      L2 Cache Hit Rate      99.59%      99.59%      99.59%
No.2/13 | 109:   l2_tex_hit_rate      L2 Cache Hit Rate      99.32%      99.32%      99.32%
No.2/13 | 110:   l2_tex_hit_rate      L2 Cache Hit Rate      99.30%      99.30%      99.30%
