Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
1,12863613,1024,562,100,99.46
2,12753960,1024,562,100,99.46
3,12753968,1024,562,100,99.40
4,12761497,1024,562,100,99.44
5,12754985,1024,562,100,99.47
6,12755040,1024,562,100,99.45
7,12865555,1024,562,100,99.46
8,12865690,1024,562,100,99.47
9,12751872,1024,562,100,99.47
10,12863225,1024,562,100,99.40
11,12749827,1024,562,100,99.46
12,12864674,1024,562,100,99.40
13,12865505,1024,562,100,99.40
14,12753548,1024,562,100,99.47
15,12751392,1024,562,100,99.46
16,12867543,1024,562,100,99.46
17,12754230,1024,562,100,99.40
18,12754890,1024,562,100,99.46
19,12752576,1024,562,100,99.47
20,12864504,1024,562,100,99.40
21,12750029,1024,562,100,99.45
22,12864255,1024,562,100,99.47
23,12749104,1024,562,100,99.47
24,12755529,1024,562,100,99.39
25,12872927,1024,562,100,99.45
26,12871657,1024,562,100,99.40
27,12865362,1024,562,100,99.46
28,12754654,1024,562,100,99.45
29,12868048,1024,562,100,99.40
30,12867320,1024,562,100,99.45
31,12867888,1024,562,100,99.40
32,12869928,1024,562,100,99.46
33,12872663,1024,562,100,99.39
34,12757630,1024,562,100,99.44
35,12752932,1024,562,100,99.39
36,12864734,1024,562,100,99.47
37,12753264,1024,562,100,99.47
38,12756952,1024,562,100,99.46
39,12868367,1024,562,100,99.47
40,12758544,1024,562,100,99.50
41,12756781,1024,562,100,99.46
42,12867504,1024,562,100,99.40
43,12756886,1024,562,100,99.40
44,12754544,1024,562,100,99.46
45,12753399,1024,562,100,99.48
46,12759973,1024,562,100,99.39
47,12862818,1024,562,100,99.44
48,12864021,1024,562,100,99.39
49,12748789,1024,562,100,99.39
50,12863653,1024,562,100,99.47
51,12866249,1024,562,100,99.45
52,12860533,1024,562,100,99.47
53,12858701,1024,562,100,99.46
54,12863339,1024,562,100,99.46
55,12748620,1024,562,100,99.47
56,12750877,1024,562,100,99.49
57,12751482,1024,562,100,99.47
58,12748954,1024,562,100,99.47
59,12862235,1024,562,100,99.48
