Index,Exec_time,stride,inner_cycle,out_cycle,hit_num,miss_num
1,23138822,1024,1024,100,99.21
2,23343087,1024,1024,100,100.00
3,23138946,1024,1024,100,99.23
4,23138893,1024,1024,100,100.00
5,23138609,1024,1024,100,100.00
6,23139148,1024,1024,100,100.00
7,23139099,1024,1024,100,99.21
8,23139756,1024,1024,100,99.20
9,23138387,1024,1024,100,100.00
10,23342843,1024,1024,100,100.00
11,23342554,1024,1024,100,99.23
12,23138696,1024,1024,100,99.23
13,23138783,1024,1024,100,99.20
14,23138696,1024,1024,100,100.00
15,23343183,1024,1024,100,99.20
16,23343342,1024,1024,100,99.12
17,23139027,1024,1024,100,100.00
18,23342899,1024,1024,100,99.00
19,23343355,1024,1024,100,99.20
20,23138771,1024,1024,100,99.21
21,23138995,1024,1024,100,100.00
22,23139214,1024,1024,100,100.00
23,23342006,1024,1024,100,99.23
24,23139229,1024,1024,100,99.21
25,23138798,1024,1024,100,100.00
26,23139252,1024,1024,100,99.99
27,23331098,1024,1024,100,99.22
28,23344496,1024,1024,100,99.21
29,23138812,1024,1024,100,99.22
30,23138762,1024,1024,100,99.23
31,23139284,1024,1024,100,99.20
32,23138874,1024,1024,100,99.22
33,23341832,1024,1024,100,99.23
34,23138955,1024,1024,100,99.22
35,23138259,1024,1024,100,99.21
36,23342732,1024,1024,100,99.21
37,23342672,1024,1024,100,100.00
38,23342234,1024,1024,100,100.00
39,23138861,1024,1024,100,99.22
40,23138706,1024,1024,100,99.23
41,23139205,1024,1024,100,100.00
42,23139157,1024,1024,100,99.99
43,23333395,1024,1024,100,99.21
44,23536234,1024,1024,100,99.00
45,23331295,1024,1024,100,99.00
46,23138721,1024,1024,100,100.00
47,23138788,1024,1024,100,100.00
48,23138827,1024,1024,100,99.23
49,23138297,1024,1024,100,100.00
50,23343167,1024,1024,100,100.00
51,23139198,1024,1024,100,100.00
52,23342503,1024,1024,100,100.00
53,23342973,1024,1024,100,99.23
54,23138855,1024,1024,100,100.00
55,23139185,1024,1024,100,99.22
56,23533871,1024,1024,100,99.21
57,23535328,1024,1024,100,99.21
58,23342895,1024,1024,100,100.00
59,23139401,1024,1024,100,99.20
60,23342594,1024,1024,100,99.22
61,23138888,1024,1024,100,99.21
62,23138761,1024,1024,100,99.21
63,23138861,1024,1024,100,99.23
64,23138759,1024,1024,100,100.00
65,23344128,1024,1024,100,100.00
66,23139347,1024,1024,100,99.08
67,23534635,1024,1024,100,99.00
68,23319609,1024,1024,100,100.00
69,23343562,1024,1024,100,99.21
70,23139025,1024,1024,100,99.23
71,23138879,1024,1024,100,100.00
72,23343878,1024,1024,100,100.00
73,23138970,1024,1024,100,99.23
74,23138582,1024,1024,100,99.23
75,23343093,1024,1024,100,100.00
76,23138798,1024,1024,100,99.21
77,23139018,1024,1024,100,100.00
78,23138557,1024,1024,100,99.00
79,23535697,1024,1024,100,99.23
80,23138607,1024,1024,100,99.20
81,23343134,1024,1024,100,99.23
82,23138653,1024,1024,100,99.20
83,23138936,1024,1024,100,99.23
84,23138768,1024,1024,100,99.23
85,23342964,1024,1024,100,100.00
86,23343091,1024,1024,100,99.23
87,23139110,1024,1024,100,100.00
88,23138811,1024,1024,100,100.00
89,23342687,1024,1024,100,99.99
90,23138738,1024,1024,100,99.23
91,23536338,1024,1024,100,100.00
92,23138514,1024,1024,100,99.23
93,23138329,1024,1024,100,99.20
94,23139005,1024,1024,100,100.00
95,23138559,1024,1024,100,99.23
96,23138483,1024,1024,100,100.00
97,23342971,1024,1024,100,99.23
98,23138754,1024,1024,100,100.00
99,23138966,1024,1024,100,99.21
100,23138434,1024,1024,100,100.00
101,23343844,1024,1024,100,99.21
102,23535801,1024,1024,100,99.22
103,23330588,1024,1024,100,99.20
104,23138967,1024,1024,100,100.00
105,23138728,1024,1024,100,99.23
106,23138646,1024,1024,100,99.21
107,23343443,1024,1024,100,100.00
108,23534447,1024,1024,100,99.21
109,23139930,1024,1024,100,99.23
110,23138716,1024,1024,100,99.99
111,23138795,1024,1024,100,100.00
112,23139091,1024,1024,100,100.00
113,23316811,1024,1024,100,99.08
114,23344162,1024,1024,100,100.00
115,23138995,1024,1024,100,99.23
116,23138943,1024,1024,100,100.00
117,23342999,1024,1024,100,100.00
118,23138936,1024,1024,100,100.00
119,23138796,1024,1024,100,100.00
120,23138818,1024,1024,100,100.00
121,23138615,1024,1024,100,99.23
122,23139022,1024,1024,100,99.23
123,23138950,1024,1024,100,100.00
124,23138928,1024,1024,100,100.00
125,23343270,1024,1024,100,99.21
126,23534448,1024,1024,100,99.19
127,23138524,1024,1024,100,100.00
128,23343067,1024,1024,100,99.23
129,23138944,1024,1024,100,99.20
130,23138989,1024,1024,100,100.00
131,23343262,1024,1024,100,100.00
132,23344269,1024,1024,100,100.00
133,23342797,1024,1024,100,99.23
134,23138870,1024,1024,100,100.00
135,23342349,1024,1024,100,99.99
136,23343483,1024,1024,100,99.23
137,23331241,1024,1024,100,99.00
138,23342813,1024,1024,100,100.00
139,23342809,1024,1024,100,100.00
140,23138965,1024,1024,100,100.00
141,23342520,1024,1024,100,100.00
142,23138625,1024,1024,100,100.00
143,23343919,1024,1024,100,99.12
144,23138735,1024,1024,100,99.23
145,23344170,1024,1024,100,99.22
146,23329952,1024,1024,100,100.00
147,23330871,1024,1024,100,99.00
148,23332948,1024,1024,100,99.00
149,23343450,1024,1024,100,100.00
150,23169988,1024,1024,100,100.00
151,23170047,1024,1024,100,99.21
152,23375145,1024,1024,100,100.00
153,23169930,1024,1024,100,100.00
