Index,Exec_time,stride,inner_cycle,out_cycle,hit_rate
1,14004196,1024,612,100,99.37
2,13878356,1024,612,100,99.42
3,14005241,1024,612,100,99.41
4,13880355,1024,612,100,99.38
5,14004078,1024,612,100,99.43
6,14003600,1024,612,100,99.43
7,13887589,1024,612,100,99.37
8,14003935,1024,612,100,99.43
9,13879846,1024,612,100,99.44
10,13881582,1024,612,100,99.38
11,13880026,1024,612,100,99.42
12,13882147,1024,612,100,99.43
13,13888044,1024,612,100,99.41
14,14008574,1024,612,100,99.38
15,13885788,1024,612,100,99.42
16,13882724,1024,612,100,99.45
17,14010705,1024,612,100,99.38
18,13885808,1024,612,100,99.42
19,14006268,1024,612,100,99.43
20,14011248,1024,612,100,99.44
21,13888075,1024,612,100,99.38
22,14005507,1024,612,100,99.43
23,13882300,1024,612,100,99.38
24,13885862,1024,612,100,99.42
25,13886674,1024,612,100,99.41
26,14006277,1024,612,100,99.45
27,13881711,1024,612,100,99.44
28,13888273,1024,612,100,99.38
29,13885647,1024,612,100,99.43
30,13885256,1024,612,100,99.43
31,13889219,1024,612,100,99.42
32,13888688,1024,612,100,99.43
33,13885471,1024,612,100,99.43
34,14005702,1024,612,100,99.43
35,13885893,1024,612,100,99.44
36,13884210,1024,612,100,99.44
37,14009782,1024,612,100,99.43
38,14010006,1024,612,100,99.42
39,13884116,1024,612,100,99.37
40,14007348,1024,612,100,99.43
41,13883121,1024,612,100,99.43
42,13883180,1024,612,100,99.44
43,14005905,1024,612,100,99.44
44,13882604,1024,612,100,99.37
45,14007898,1024,612,100,99.44
46,14007201,1024,612,100,99.41
47,14009037,1024,612,100,99.44
48,14003747,1024,612,100,99.44
49,14005021,1024,612,100,99.43
50,14008970,1024,612,100,99.42
51,13883979,1024,612,100,99.44
52,13884698,1024,612,100,99.44
53,13880658,1024,612,100,99.42
54,14006726,1024,612,100,99.43
55,14006265,1024,612,100,99.37
56,13881670,1024,612,100,99.43
57,14003697,1024,612,100,99.44
58,13881978,1024,612,100,99.43
59,13886497,1024,612,100,99.37
60,13880139,1024,612,100,99.43
61,14003953,1024,612,100,99.37
62,13886704,1024,612,100,99.42
63,13883782,1024,612,100,99.44
64,13887845,1024,612,100,99.37
65,13883354,1024,612,100,99.44
66,13884824,1024,612,100,99.42
67,14005200,1024,612,100,99.44
68,14012006,1024,612,100,99.43
69,14009300,1024,612,100,99.42
70,13884290,1024,612,100,99.42
71,13884499,1024,612,100,99.43
72,13886315,1024,612,100,99.43
73,13882278,1024,612,100,99.37
74,14007861,1024,612,100,99.37
75,13886169,1024,612,100,99.41
76,14005838,1024,612,100,99.42
77,14005858,1024,612,100,99.41
78,13883371,1024,612,100,99.41
79,13883842,1024,612,100,99.43
80,13882513,1024,612,100,99.37
81,14000835,1024,612,100,99.44
82,14002948,1024,612,100,99.37
83,14005002,1024,612,100,99.44
84,14004675,1024,612,100,99.43
85,14007301,1024,612,100,99.39
86,13889847,1024,612,100,99.44
87,13888711,1024,612,100,99.44
88,13885229,1024,612,100,99.44
89,14009257,1024,612,100,99.42
90,13883822,1024,612,100,99.43
91,13883703,1024,612,100,99.43
92,13884291,1024,612,100,99.41
93,14009612,1024,612,100,99.43
94,13889032,1024,612,100,99.38
95,14008046,1024,612,100,99.43
96,14006394,1024,612,100,99.44
97,13881937,1024,612,100,99.36
98,14010227,1024,612,100,99.43
99,14005867,1024,612,100,99.46
100,14006348,1024,612,100,99.38
101,13882170,1024,612,100,99.44
102,14003897,1024,612,100,99.43
103,13883424,1024,612,100,99.44
104,13882525,1024,612,100,99.44
105,14009444,1024,612,100,99.43
106,13885672,1024,612,100,99.43
107,13885955,1024,612,100,99.37
108,14006222,1024,612,100,99.42
109,13882784,1024,612,100,99.37
110,13881623,1024,612,100,99.44
111,14002007,1024,612,100,99.37
112,14002403,1024,612,100,99.41
113,13876866,1024,612,100,99.45
114,13879112,1024,612,100,99.42
115,13883402,1024,612,100,99.45
116,13880642,1024,612,100,99.44
117,13878836,1024,612,100,99.42
118,14003775,1024,612,100,99.44
119,14003330,1024,612,100,99.37
120,14001222,1024,612,100,99.37
121,14003936,1024,612,100,99.44
122,13883891,1024,612,100,99.38
123,14005616,1024,612,100,99.44
124,13878804,1024,612,100,99.43
125,13880440,1024,612,100,99.44
126,14001107,1024,612,100,99.42
127,13878750,1024,612,100,99.44
128,14000478,1024,612,100,99.37
129,14007213,1024,612,100,99.43
130,13886243,1024,612,100,99.36
131,14006989,1024,612,100,99.41
132,13884615,1024,612,100,99.42
133,14003936,1024,612,100,99.38
134,13883964,1024,612,100,99.42
135,13880787,1024,612,100,99.43
136,13880364,1024,612,100,99.43
137,14004520,1024,612,100,99.43
138,13879031,1024,612,100,99.44
139,14004560,1024,612,100,99.43
140,13885486,1024,612,100,99.41
141,13882623,1024,612,100,99.42
142,13884229,1024,612,100,99.43
143,13881819,1024,612,100,99.37
144,13882384,1024,612,100,99.43
145,13886500,1024,612,100,99.41
146,13883354,1024,612,100,99.44
147,14011202,1024,612,100,99.42
148,13884144,1024,612,100,99.43
149,14003696,1024,612,100,99.43
150,14007542,1024,612,100,99.37
151,14006403,1024,612,100,99.36
152,13884693,1024,612,100,99.42
153,13883879,1024,612,100,99.43
154,14003971,1024,612,100,99.41
155,13882550,1024,612,100,99.37
156,14006650,1024,612,100,99.43
157,14004377,1024,612,100,99.43
